Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,107.80228570328352,-1.52,0.1,162.7768,162.7768,0.050666666666666665,-1.52,0.1,162.7768,162.7768,0.050666666666666665
1,2024-01-01,104.0,102.10950378253581,0.0,0.1,-0.0,162.7768,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
2,2024-01-01,100.0,96.45488628365388,0.0,0.1,-0.0,162.7768,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
3,2024-01-01,85.66,91.88716258189675,0.0,0.1,-0.0,162.7768,0.050666666666666665,1.8000000000000003,0.5275000000000001,-154.18800000000002,8.588799999999992,0.11066666666666668
4,2024-01-01,85.0,89.85106643562969,0.0,0.1,-0.0,162.7768,0.050666666666666665,1.5684210526315787,0.9,-133.3157894736842,-124.7269894736842,0.16294736842105262
5,2024-01-01,85.53,89.99884298402753,2.0,0.575,-171.06,-8.283199999999994,0.11733333333333333,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
6,2024-01-01,95.07,87.565865403734,1.3684210526315792,0.9,-130.09578947368422,-138.37898947368421,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
7,2024-01-01,104.07,97.07661045082963,0.0,0.9,-0.0,-138.37898947368421,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
8,2024-01-01,106.95,113.7645421152702,-2.0,0.37368421052631584,213.9,75.52101052631579,0.22961403508771933,-1.8,0.4263157894736842,192.51000000000002,67.78301052631582,0.22294736842105262
9,2024-01-01,107.08,113.6556792849636,-1.0400000000000003,0.1,111.36320000000002,186.88421052631583,0.264280701754386,-1.24,0.1,132.7792,200.56221052631582,0.26428070175438595
10,2024-01-01,104.0,105.51208534097131,0.0,0.1,-0.0,186.88421052631583,0.264280701754386,0.0,0.1,-0.0,200.56221052631582,0.26428070175438595
11,2024-01-01,98.13,103.95922416290185,2.0,0.575,-196.26,-9.375789473684165,0.33094736842105266,0.0,0.1,-0.0,200.56221052631582,0.26428070175438595
12,2024-01-01,101.55,101.73693639831374,-1.805,0.1,183.29774999999998,173.92196052631581,0.3911140350877193,0.0,0.1,-0.0,200.56221052631582,0.26428070175438595
13,2024-01-01,98.16,97.73492604103824,2.0,0.575,-196.32,-22.39803947368418,0.45778070175438595,0.0,0.1,-0.0,200.56221052631582,0.26428070175438595
14,2024-01-01,98.17,99.15296909640352,1.3684210526315792,0.9,-134.33789473684214,-156.73593421052632,0.5033947368421052,1.8000000000000003,0.5275000000000001,-176.70600000000002,23.856210526315806,0.32428070175438595
15,2024-01-01,105.54,106.49848660880046,0.0,0.9,-0.0,-156.73593421052632,0.5033947368421052,1.5684210526315787,0.9,-165.53115789473682,-141.67494736842102,0.3765614035087719
16,2024-01-01,110.0,114.22052701928355,0.0,0.9,-0.0,-156.73593421052632,0.5033947368421052,0.0,0.9,-0.0,-141.67494736842102,0.3765614035087719
17,2024-01-01,120.04,130.65921913631286,0.0,0.9,-0.0,-156.73593421052632,0.5033947368421052,0.0,0.9,-0.0,-141.67494736842102,0.3765614035087719
18,2024-01-01,131.5,132.00833530945226,-2.0,0.37368421052631584,263.0,106.26406578947368,0.5700614035087719,-1.8,0.4263157894736842,236.70000000000002,95.025052631579,0.4365614035087719
19,2024-01-01,132.0,118.15638224215455,-1.0400000000000003,0.1,137.28000000000003,243.5440657894737,0.6047280701754385,-1.24,0.1,163.68,258.705052631579,0.4778947368421052
20,2024-01-01,127.75,118.48662236862643,0.0,0.1,-0.0,243.5440657894737,0.6047280701754385,0.0,0.1,-0.0,258.705052631579,0.4778947368421052
21,2024-01-01,113.48,111.25614553351464,0.0,0.1,-0.0,243.5440657894737,0.6047280701754385,0.0,0.1,-0.0,258.705052631579,0.4778947368421052
22,2024-01-01,109.18,114.24905091453098,0.0,0.1,-0.0,243.5440657894737,0.6047280701754385,0.0,0.1,-0.0,258.705052631579,0.4778947368421052
23,2024-01-01,107.2,94.66337848120295,2.0,0.575,-214.4,29.1440657894737,0.6713947368421052,0.0,0.1,-0.0,258.705052631579,0.4778947368421052
24,2024-01-02,105.49,102.7092116428856,-1.805,0.1,190.40945,219.5535157894737,0.7315614035087719,0.0,0.1,-0.0,258.705052631579,0.4778947368421052
25,2024-01-02,90.09,90.85335547696907,0.0,0.1,-0.0,219.5535157894737,0.7315614035087719,1.8000000000000003,0.5275000000000001,-162.16200000000003,96.54305263157897,0.5378947368421052
26,2024-01-02,84.27,86.84432876147474,0.0,0.1,-0.0,219.5535157894737,0.7315614035087719,1.5684210526315787,0.9,-132.17084210526312,-35.627789473684146,0.5901754385964911
27,2024-01-02,84.27,81.64399764500216,2.0,0.575,-168.54,51.0135157894737,0.7982280701754385,0.0,0.9,-0.0,-35.627789473684146,0.5901754385964911
28,2024-01-02,84.27,90.01724181625079,1.3684210526315792,0.9,-115.31684210526318,-64.30332631578948,0.8438421052631578,0.0,0.9,-0.0,-35.627789473684146,0.5901754385964911
29,2024-01-02,100.0,93.5108325049915,0.0,0.9,-0.0,-64.30332631578948,0.8438421052631578,0.0,0.9,-0.0,-35.627789473684146,0.5901754385964911
