Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,91.0265,-1.52,0.1,162.7768,162.7768,0.050666666666666665,-1.52,0.1,162.7768,162.7768,0.050666666666666665
1,2024-01-01,104.0,88.39999999999999,0.0,0.1,-0.0,162.7768,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
2,2024-01-01,100.0,114.99999999999999,0.0,0.1,-0.0,162.7768,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
3,2024-01-01,85.66,72.81099999999999,1.368421052632688,0.4250000000002634,-117.21894736851606,45.557852631483954,0.09628070175442294,0.0,0.1,-0.0,162.7768,0.050666666666666665
4,2024-01-01,85.0,97.74999999999999,1.999999999998891,0.9,-169.99999999990575,-124.4421473684218,0.16294736842105262,0.0,0.1,-0.0,162.7768,0.050666666666666665
5,2024-01-01,85.53,98.3595,0.0,0.9,-0.0,-124.4421473684218,0.16294736842105262,0.0,0.1,-0.0,162.7768,0.050666666666666665
6,2024-01-01,95.07,104.52516903641819,0.0,0.9,-0.0,-124.4421473684218,0.16294736842105262,0.0,0.1,-0.0,162.7768,0.050666666666666665
7,2024-01-01,104.07,88.45949999999999,0.0,0.9,-0.0,-124.4421473684218,0.16294736842105262,0.0,0.1,-0.0,162.7768,0.050666666666666665
8,2024-01-01,106.95,90.9075,-2.0,0.37368421052631584,213.9,89.4578526315782,0.22961403508771927,0.0,0.1,-0.0,162.7768,0.050666666666666665
9,2024-01-01,107.08,112.80091052628728,0.9529085846724589,0.5999999993860248,-102.03745124672689,-12.579598615148683,0.26137765457680123,0.0,0.1,-0.0,162.7768,0.050666666666666665
10,2024-01-01,104.0,105.44847833525894,-0.6999999975337292,0.4157894737192539,72.79999974350784,60.22040112835916,0.28471098782792553,0.0,0.1,-0.0,162.7768,0.050666666666666665
11,2024-01-01,98.13,83.4105,2.0,0.8907894737192539,-196.26,-136.03959887164083,0.3513776544945922,0.0,0.1,-0.0,162.7768,0.050666666666666665
12,2024-01-01,101.55,116.78249999999998,0.0,0.8907894737192539,-0.0,-136.03959887164083,0.3513776544945922,0.0,0.1,-0.0,162.7768,0.050666666666666665
13,2024-01-01,98.16,90.05259026747797,-1.8631578939432527,0.40048476478681894,182.88757886946968,46.847979997828844,0.41348291762603395,0.0,0.1,-0.0,162.7768,0.050666666666666665
14,2024-01-01,98.17,112.8955,2.0,0.8754847647868189,-196.34,-149.49202000217116,0.4801495842927006,0.0,0.1,-0.0,162.7768,0.050666666666666665
15,2024-01-01,105.54,121.371,0.10322204300286783,0.9,-10.894054418522671,-160.38607442069383,0.48359031905946287,0.0,0.1,-0.0,162.7768,0.050666666666666665
16,2024-01-01,110.0,93.5,0.0,0.9,-0.0,-160.38607442069383,0.48359031905946287,0.0,0.1,-0.0,162.7768,0.050666666666666665
17,2024-01-01,120.04,138.046,0.0,0.9,-0.0,-160.38607442069383,0.48359031905946287,0.0,0.1,-0.0,162.7768,0.050666666666666665
18,2024-01-01,131.5,145.51575815031373,-2.0,0.37368421052631584,263.0,102.61392557930617,0.5502569857261296,0.0,0.1,-0.0,162.7768,0.050666666666666665
19,2024-01-01,132.0,151.79999999999998,-1.0400000000000003,0.1,137.28000000000003,239.8939255793062,0.5849236523927963,0.0,0.1,-0.0,162.7768,0.050666666666666665
20,2024-01-01,127.75,132.85919873955083,0.0,0.1,-0.0,239.8939255793062,0.5849236523927963,0.0,0.1,-0.0,162.7768,0.050666666666666665
21,2024-01-01,113.48,130.50199999999998,0.0,0.1,-0.0,239.8939255793062,0.5849236523927963,0.0,0.1,-0.0,162.7768,0.050666666666666665
22,2024-01-01,109.18,92.803,0.0,0.1,-0.0,239.8939255793062,0.5849236523927963,0.0,0.1,-0.0,162.7768,0.050666666666666665
23,2024-01-01,107.2,91.12,1.368421052631593,0.4250000000000034,-146.69473684210678,93.19918873719942,0.6305376874805161,0.0,0.1,-0.0,162.7768,0.050666666666666665
24,2024-01-02,105.49,121.31349999999999,-1.2350000000000128,0.1,130.28015000000133,223.47933873720075,0.6717043541471832,0.0,0.1,-0.0,162.7768,0.050666666666666665
25,2024-01-02,90.09,78.49839046591049,0.0,0.1,-0.0,223.47933873720075,0.6717043541471832,0.0,0.1,-0.0,162.7768,0.050666666666666665
26,2024-01-02,84.27,79.53992839509817,1.368421052657616,0.42500000000618376,-115.31684210745729,108.16249662974346,0.7173183892357704,0.0,0.1,-0.0,162.7768,0.050666666666666665
27,2024-01-02,84.27,71.6295,1.9999999999739633,0.9,-168.53999999780586,-60.377503368062406,0.7839850559015692,0.0,0.1,-0.0,162.7768,0.050666666666666665
28,2024-01-02,84.27,89.75531861036124,-1.8999999916784984,0.4000000021898688,160.11299929874704,99.73549593068464,0.8473183889575191,0.0,0.1,-0.0,162.7768,0.050666666666666665
29,2024-01-02,100.0,107.5271674354982,2.0,0.8750000021898687,-200.0,-100.26450406931536,0.9139850556241857,0.0,0.1,-0.0,162.7768,0.050666666666666665
30,2024-01-02,108.28,122.64559586332835,0.10526314867423703,0.9,-11.397893738446385,-111.66239780776175,0.9174938272466603,0.0,0.1,-0.0,162.7768,0.050666666666666665
31,2024-01-02,113.85,96.7725,0.0,0.9,-0.0,-111.66239780776175,0.9174938272466603,0.0,0.1,-0.0,162.7768,0.050666666666666665
32,2024-01-02,126.9,135.2621034226713,-1.2000005507187224,0.5842103813898099,152.28006988620587,40.617672078444116,0.957493845603951,0.0,0.1,-0.0,162.7768,0.050666666666666665
33,2024-01-02,119.5,137.42499999999998,-1.8399994492812775,0.1,219.87993418911265,260.49760626755676,1.0188271605799937,0.0,0.1,-0.0,162.7768,0.050666666666666665
