Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,118.15244644996994,0.0,0.5,-0.0,0.0,0.0,-1.52,0.1,162.7768,162.7768,0.050666666666666665
1,2024-01-01,104.0,114.59513345410727,-1.52,0.1,158.08,158.08,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
2,2024-01-01,100.0,108.25024643033542,0.0,0.1,-0.0,158.08,0.050666666666666665,0.0,0.1,-0.0,162.7768,0.050666666666666665
3,2024-01-01,85.66,86.55091836580002,0.0,0.1,-0.0,158.08,0.050666666666666665,1.8000000000000003,0.5275000000000001,-154.18800000000002,8.588799999999992,0.11066666666666668
4,2024-01-01,85.0,90.63941507632664,2.0,0.575,-170.0,-11.919999999999987,0.11733333333333333,1.5684210526315787,0.9,-133.3157894736842,-124.7269894736842,0.16294736842105262
5,2024-01-01,85.53,77.91220493596973,1.3684210526315792,0.9,-117.04105263157896,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
6,2024-01-01,95.07,102.70172949595889,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
7,2024-01-01,104.07,103.23554402985934,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
8,2024-01-01,106.95,107.65803929635754,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
9,2024-01-01,107.08,96.84289551799067,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
10,2024-01-01,104.0,89.87725598400021,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
11,2024-01-01,98.13,88.40482820900098,0.0,0.9,-0.0,-128.96105263157895,0.16294736842105265,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
12,2024-01-01,101.55,95.80730335909263,-2.0,0.37368421052631584,203.1,74.13894736842104,0.22961403508771933,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
13,2024-01-01,98.16,84.10249633633954,2.0,0.8486842105263158,-196.32,-122.18105263157895,0.296280701754386,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
14,2024-01-01,98.17,96.84663956249013,0.21606648199445982,0.9,-21.21124653739612,-143.39229916897506,0.30348291782086795,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
15,2024-01-01,105.54,98.21825710016475,0.0,0.9,-0.0,-143.39229916897506,0.30348291782086795,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
16,2024-01-01,110.0,115.27849463375125,0.0,0.9,-0.0,-143.39229916897506,0.30348291782086795,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
17,2024-01-01,120.04,125.0475308577797,0.0,0.9,-0.0,-143.39229916897506,0.30348291782086795,0.0,0.9,-0.0,-124.7269894736842,0.16294736842105262
18,2024-01-01,131.5,129.7120403695738,-2.0,0.37368421052631584,263.0,119.60770083102494,0.3701495844875346,-1.6,0.4789473684210526,210.4,85.6730105263158,0.21628070175438596
19,2024-01-01,132.0,133.0959575122557,-1.0400000000000003,0.1,137.28000000000003,256.887700831025,0.4048162511542013,-1.4399999999999997,0.10000000000000003,190.07999999999996,275.75301052631573,0.26428070175438595
20,2024-01-01,127.75,109.21625409231993,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,0.0,0.10000000000000003,-0.0,275.75301052631573,0.26428070175438595
21,2024-01-01,113.48,129.84529744136523,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,0.0,0.10000000000000003,-0.0,275.75301052631573,0.26428070175438595
22,2024-01-01,109.18,116.84004908375023,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,0.0,0.10000000000000003,-0.0,275.75301052631573,0.26428070175438595
23,2024-01-01,107.2,120.11834942320111,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,0.0,0.10000000000000003,-0.0,275.75301052631573,0.26428070175438595
24,2024-01-02,105.49,106.89439219766466,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,0.0,0.10000000000000003,-0.0,275.75301052631573,0.26428070175438595
25,2024-01-02,90.09,99.8757434669315,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,1.8000000000000003,0.5275000000000001,-162.16200000000003,113.5910105263157,0.32428070175438595
26,2024-01-02,84.27,94.32632978700254,0.0,0.1,-0.0,256.887700831025,0.4048162511542013,1.5684210526315787,0.9,-132.17084210526312,-18.57983157894742,0.3765614035087719
