index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,124429.50335555228,10848.265040881553,79838.50,179.05
1,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.08914032722,77723.39,174.30
2,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.08914032722,77723.39,174.30
3,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.08914032722,77723.39,174.30
4,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.089140327222,77723.39,174.30
5,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.08914032722,77723.39,174.30
6,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.089140327218,77723.39,174.30
7,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,122314.39668371616,9023.089140327222,77723.39,174.30
8,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.69465319798,4575.500544316648,-9746.07,-4.02
9,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.694653198,4575.500544316703,-9746.07,-4.02
10,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.69465319798,4575.500544316648,-9746.07,-4.02
11,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.69465319804,4575.500544316704,-9746.07,-4.02
12,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,233954.4091772102,6115.70626058034,-8348.36,-3.45
13,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.694653198,4575.500544316702,-9746.07,-4.02
14,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234108.23475238399,6115.70626058034,-8194.53,-3.38
15,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,232556.69465319804,4575.500544316704,-9746.07,-4.02
16,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,583863.1982709665,16255.420503577216,28928.74,5.21
17,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,628927.141199194,60388.83832870512,73992.68,13.33
18,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,583429.360947965,15934.25203962862,28494.90,5.13
19,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,583433.096306895,15937.021447956653,28498.64,5.14
