index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
1,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
2,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
3,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
4,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
5,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
6,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
7,small_4h,0.5,4.0,51750.70502354619,53698.96203531911,0.0,371416.13049843506,302115.28857629583,319665.43,617.70
8,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
9,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
10,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
11,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
12,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
13,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
14,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
15,medium_2h,1.0,2.0,659333.4195995945,529660.470892075,142726.8765446903,697885.2078802296,559283.5240359511,38551.79,5.85
16,large_1h,2.5,1.0,1699010.861508744,1351736.6308979956,381492.9806107483,1694279.672692407,1347775.4630817107,-4731.19,-0.28
17,large_1h,2.5,1.0,1699010.861508744,1351736.6308979956,381492.9806107483,1694279.672692407,1347775.4630817107,-4731.19,-0.28
18,large_1h,2.5,1.0,1699010.861508744,1351736.6308979956,381492.9806107483,1694279.672692407,1347775.4630817107,-4731.19,-0.28
19,large_1h,2.5,1.0,1699010.861508744,1351736.6308979956,381492.9806107483,1694279.672692407,1347775.4630817107,-4731.19,-0.28
