#{"t_start": 1767996775.2669265, "env_id": "None"}
r,l,t
53841.056881,480,1.198799
51261.816408,480,2.946175
52477.060919,480,4.903871
52188.860282,480,7.49183
52636.483718,480,18.130905
51281.791483,480,20.741229
52543.557893,480,23.277196
51412.031029,480,25.972554
53269.392404,480,33.586456
50479.881541,480,34.900348
52155.924283,480,37.206142
51458.394233,480,38.785938
52467.404861,480,46.57742
52628.254493,480,47.878781
54709.96017,480,49.3619
51234.087973,480,52.277817
52222.383052,480,54.651419
53887.862701,480,65.919763
51751.692469,480,67.584924
52761.433156,480,68.605608
51427.802679,480,70.171486
52216.97441,480,76.761006
50590.603613,480,78.061198
49908.871004,480,79.267344
50208.751707,480,81.652032
53117.218843,480,89.42754
52756.584496,480,91.085221
52219.403856,480,92.581827
52839.836056,480,93.71061
52365.555298,480,103.098996
52044.241895,480,104.4364
49857.89373,480,105.947971
52181.999715,480,107.4825
51403.201234,480,108.896068
53129.974095,480,117.611901
51917.164452,480,118.715127
50386.643157,480,119.941934
52431.767053,480,121.180415
51435.965059,480,129.467656
50948.856776,480,130.501609
51982.104774,480,131.784661
52548.854581,480,132.898519
50656.189799,480,139.486037
51688.075772,480,142.772931
51649.351165,480,144.851041
50875.435637,480,145.924212
53374.500469,480,152.445882
52416.904252,480,153.759312
50273.289461,480,154.636222
51965.839955,480,157.318111
51829.096304,480,160.07119
52489.010895,480,168.993292
51712.066652,480,172.003339
52537.134681,480,173.164834
51883.118952,480,174.092769
51705.958766,480,182.042259
50592.96092,480,182.981695
51074.658081,480,184.18985
50891.08697,480,186.284338
51985.832501,480,197.327168
50941.338582,480,199.708408
52881.933907,480,202.758011
52134.376925,480,205.373548
51852.436106,480,207.094559
52090.491451,480,219.286156
50587.544015,480,222.090813
51694.698467,480,224.374946
53465.328933,480,225.548411
51847.405582,480,237.04116
52587.60542,480,238.252771
52253.211497,480,239.358504
50107.351545,480,240.60902
51516.579015,480,250.212494
50829.869407,480,252.473716
51532.750371,480,254.329913
51492.712089,480,255.568776
52781.68387,480,265.490469
53534.150749,480,267.289373
52185.282847,480,268.39287
52982.740104,480,269.754128
51393.334885,480,271.119606
52338.47433,480,279.763157
53421.988056,480,280.784229
52707.933542,480,281.925776
52333.037244,480,283.158661
52933.519572,480,288.6955
52348.130265,480,289.887165
52468.279388,480,292.65187
53557.913776,480,294.709678
52480.38346,480,302.298724
52034.599259,480,303.505529
52003.272521,480,304.836092
52683.287145,480,307.905499
52949.774533,480,315.810972
51610.252211,480,317.413726
52520.939327,480,318.656809
52638.185985,480,319.983583
52799.486445,480,322.397922
56081.25839,480,330.525661
52517.665146,480,332.084998
53524.954777,480,333.245101
51584.811903,480,334.256249
52585.002613,480,343.789698
52946.04391,480,345.21325
53657.113126,480,346.705203
51765.587983,480,347.785419
52818.852037,480,355.955412
52514.171901,480,357.438944
51869.736348,480,358.268229
51164.646626,480,359.504906
51791.452461,480,366.972008
51835.148147,480,368.268613
52496.197568,480,369.341326
53114.039319,480,370.348711
52535.940903,480,371.386812
51284.343043,480,377.762263
51130.492092,480,379.01585
53001.503818,480,380.090158
52281.965825,480,382.651117
52825.188504,480,391.38857
51062.782907,480,393.117636
51944.275144,480,394.169202
50883.054441,480,397.314465
51598.249897,480,407.29449
53178.515609,480,408.23764
50664.73015,480,409.32149
50799.598078,480,411.515432
52307.41215,480,413.17183
51820.004603,480,420.960882
51835.142941,480,422.146987
50067.009021,480,423.166133
51679.352041,480,424.974005
51708.446622,480,436.648613
50938.89637,480,438.086253
50300.860694,480,439.095806
52521.997798,480,441.494422
51111.331244,480,448.96519
51299.515887,480,450.963253
51991.392134,480,452.613591
52632.42839,480,454.242172
51547.753781,480,463.180781
50575.304699,480,464.265248
53070.730712,480,465.195568
50980.417759,480,466.260239
52243.001761,480,467.381355
50675.942694,480,476.235801
52606.337935,480,477.61487
51599.428151,480,478.725397
52644.085177,480,480.347087
52573.524979,480,488.37201
49358.833732,480,490.390239
49633.64544,480,491.893849
51400.179776,480,492.862806
50948.605585,480,498.320217
53449.875624,480,499.594746
52799.684969,480,501.654895
50216.266101,480,504.664003
51655.813846,480,514.283836
51519.192927,480,515.397336
51115.284454,480,518.844773
53786.089111,480,520.938005
51761.033347,480,522.068507
50833.414781,480,529.121682
51371.980935,480,532.418224
51257.863621,480,535.335006
51385.185546,480,537.444412
51151.889398,480,543.795512
52285.161688,480,545.194257
52231.207035,480,547.654307
49823.623533,480,549.422019
52002.623949,480,555.689386
51326.079968,480,556.938124
49590.970501,480,558.933463
53597.098344,480,560.293383
51758.988364,480,570.34396
51179.356171,480,571.965432
51670.088353,480,573.301415
50779.378883,480,574.845413
51792.662327,480,576.881088
52345.58392,480,583.157804
52320.559749,480,584.461728
52015.149618,480,585.676993
50616.329548,480,587.062889
51122.332755,480,594.507391
51497.883499,480,596.136394
51607.86726,480,597.286483
50888.709512,480,598.819341
52164.190469,480,604.679531
51321.874247,480,607.56218
51651.679283,480,609.119665
50743.423825,480,610.436502
52235.432103,480,611.693985
51538.599338,480,618.021579
50144.918358,480,619.099024
51947.999913,480,620.372267
50899.855313,480,622.854397
51297.227314,480,629.790359
50578.834972,480,631.408772
50792.880171,480,632.715365
52042.556011,480,633.745383
52104.486348,480,643.791812
50076.118179,480,644.864559
50360.797042,480,646.414051
51410.54138,480,647.808057
52176.340278,480,656.938876
50770.372695,480,657.892603
51246.710066,480,659.155496
51517.955524,480,661.062533
50780.339005,480,661.904775
52063.389268,480,671.838949
51693.529537,480,673.149595
51036.892541,480,675.056664
50860.077736,480,677.517068
50780.220159,480,685.623038
51435.155899,480,686.877405
51430.975711,480,688.524548
51543.484166,480,690.310583
51441.733543,480,698.771
51087.85187,480,701.02602
49968.323903,480,701.952093
52183.276736,480,703.177065
51250.652681,480,710.374378
52215.154979,480,713.418035
51717.133743,480,716.105947
51467.807994,480,717.336315
51453.378891,480,718.705775
49884.059145,480,728.769648
50430.294309,480,732.3753
50372.188453,480,735.846923
50014.427577,480,738.526078
52804.492132,480,751.058148
52559.562378,480,752.674677
49520.503139,480,754.319612
51799.09888,480,756.094092
52779.344043,480,764.240607
51665.215847,480,765.382739
52441.968052,480,767.643673
51486.642929,480,769.84456
50407.882991,480,778.709314
51774.473089,480,779.649321
53089.667705,480,780.53032
51434.446512,480,781.744144
50197.87901,480,782.966047
51086.311131,480,792.133959
51649.748099,480,793.654228
52399.743387,480,795.404806
51943.432285,480,796.646345
51445.505578,480,801.711371
51286.110846,480,802.551781
51081.925931,480,803.249704
51067.56628,480,804.344753
51802.25003,480,806.49039
50248.531345,480,807.304466
51515.213332,480,808.393139
50428.096672,480,809.774769
50975.962941,480,811.445268
52543.249061,480,819.239529
51308.992604,480,820.197834
52212.050173,480,821.244716
52628.340656,480,822.166826
50540.093562,480,827.273889
51751.88836,480,828.225194
50927.564609,480,829.074916
51448.502365,480,829.961198
51673.294314,480,837.039455
50115.867884,480,837.966905
50702.770276,480,838.803737
50699.098262,480,839.632939
50939.254654,480,844.196981
51318.571769,480,845.342735
50634.252754,480,846.790354
50729.823175,480,847.967381
51273.16638,480,848.851328
52224.618995,480,854.031463
51056.630681,480,855.095727
52835.594255,480,855.969008
52236.408874,480,856.803002
53115.771076,480,862.971087
51777.544407,480,863.96696
50690.640928,480,864.878255
50187.936988,480,865.814766
50613.483237,480,870.941064
51552.680144,480,871.607701
51599.17264,480,872.172244
52361.756113,480,872.687561
50692.389051,480,874.942165
51128.358062,480,875.609936
51268.994248,480,876.219249
51077.142564,480,876.996121
52639.269409,480,877.855909
50730.924645,480,880.972711
52976.493783,480,881.643544
51135.837015,480,882.290238
52820.352619,480,882.71057
50691.383821,480,885.227635
51293.456864,480,885.908089
51480.118555,480,886.436074
52514.805669,480,887.12577
50901.591943,480,889.423751
51970.969772,480,889.987695
51208.238875,480,890.423697
51101.777903,480,891.044014
52791.563575,480,894.864151
51406.999817,480,895.480734
52189.278315,480,896.092672
52433.9558,480,896.61715
50554.154469,480,897.282039
50667.921811,480,899.747811
52784.098011,480,900.467598
50310.500395,480,901.257223
50295.829128,480,901.904924
51968.244964,480,904.939087
50612.369373,480,905.538758
50938.528687,480,906.465457
50870.919161,480,908.912952
51513.337674,480,924.494946
52189.755488,480,926.502165
50612.924303,480,927.996248
51573.397043,480,929.252542
51737.761142,480,931.068888
50349.256356,480,941.092366
50893.200098,480,943.986594
52924.557615,480,946.416141
52535.80822,480,948.338173
51238.545679,480,955.296689
50595.013624,480,956.866832
52663.386443,480,957.77299
50794.115998,480,959.008859
52040.547518,480,964.726439
49241.867954,480,965.658996
50501.398961,480,966.674567
51750.447803,480,967.156104
50466.038344,480,973.8195
50275.510983,480,975.718747
49423.811236,480,976.563523
51678.192324,480,977.915181
50261.386543,480,978.849332
51512.557354,480,982.821038
50779.789811,480,984.6515
50202.433924,480,985.479073
51316.298666,480,986.709624
50077.534996,480,992.93014
50742.005487,480,994.594599
50795.16625,480,995.864787
50697.006109,480,998.418726
51146.265777,480,1003.07724
50723.848014,480,1004.822039
50291.190391,480,1006.556164
51825.342246,480,1007.381483
54341.415414,480,1012.164332
53340.967651,480,1013.260508
51759.913071,480,1015.151851
50901.809197,480,1015.938635
50389.224211,480,1016.807447
50441.779261,480,1022.403069
50239.256283,480,1023.322441
50263.87542,480,1024.627425
50331.246674,480,1026.386001
51451.819418,480,1030.93262
51699.013855,480,1032.174385
50661.148281,480,1033.028922
50484.790259,480,1033.989893
53229.572884,480,1038.498517
50434.289454,480,1039.503468
51813.418439,480,1040.630463
50523.286988,480,1041.61697
51870.752147,480,1046.89226
53208.894238,480,1048.046825
49958.138871,480,1049.170561
52579.934238,480,1050.946296
51173.596455,480,1052.530524
50032.07457,480,1058.784058
51796.863377,480,1060.188756
50817.531481,480,1061.477068
51845.030529,480,1062.342806
53053.171901,480,1067.697856
51849.653339,480,1068.667351
53473.299565,480,1069.598103
49999.316981,480,1070.431843
51368.087327,480,1075.324599
51743.443542,480,1076.772122
51525.973335,480,1077.657835
49839.139655,480,1078.557954
50578.33542,480,1079.90935
51255.621493,480,1086.97616
51621.343497,480,1087.818618
50055.319547,480,1088.738263
50913.183469,480,1090.449622
52523.768586,480,1098.363684
50962.833199,480,1099.511612
50174.800392,480,1100.925714
52467.192774,480,1101.795403
51603.167487,480,1108.536249
51329.130734,480,1110.435283
50622.018709,480,1112.106376
49898.471508,480,1113.506535
50786.53773,480,1118.511527
51090.687596,480,1119.805116
51712.880849,480,1120.666183
51735.873542,480,1122.311597
50871.454401,480,1123.12391
51629.474817,480,1128.745163
52005.931517,480,1129.557925
52196.759293,480,1130.479185
52184.754648,480,1131.651972
53727.212389,480,1137.153706
50474.366213,480,1139.143544
51920.813436,480,1139.978078
51404.462023,480,1140.845399
52334.942714,480,1146.634609
53087.991433,480,1147.74833
51132.13633,480,1148.525002
53154.756079,480,1149.565191
50075.923454,480,1154.538252
51173.256921,480,1155.607486
51209.449321,480,1157.54841
50708.127503,480,1158.336518
50936.649446,480,1159.756134
51839.283332,480,1164.606537
52551.112884,480,1166.083581
52178.54773,480,1167.669015
50827.419936,480,1169.478155
50520.330385,480,1175.054707
50358.980168,480,1176.986191
50985.792126,480,1177.766983
51432.045194,480,1178.606928
49720.896786,480,1183.981903
52810.772672,480,1185.125646
49677.187362,480,1185.909062
53115.24197,480,1186.689658
51945.606893,480,1191.853426
51015.447014,480,1193.013519
50013.106281,480,1194.833538
50465.111408,480,1195.635784
52859.553557,480,1197.21551
50048.784271,480,1202.457296
51847.710831,480,1203.349952
50975.278941,480,1204.17508
50362.801685,480,1204.983526
52093.220554,480,1211.403248
51236.578286,480,1212.384873
50847.556551,480,1214.287548
51510.978176,480,1215.335058
50189.124885,480,1222.062093
50564.090295,480,1222.88293
50930.913643,480,1224.636224
51087.082232,480,1225.469728
50357.968416,480,1226.422953
52426.808392,480,1231.210268
53781.765147,480,1231.99614
50994.45704,480,1233.034146
51852.750869,480,1233.811112
50583.778103,480,1239.058883
50215.701736,480,1240.928327
52654.308562,480,1241.800234
51680.53192,480,1243.614931
50902.000168,480,1250.737675
51951.361183,480,1252.625117
50389.7785,480,1253.478827
50541.03032,480,1254.693322
51441.005092,480,1260.216604
51817.825971,480,1262.06944
51755.096994,480,1262.939276
51474.951584,480,1264.893256
53263.17376,480,1266.819179
53177.673257,480,1271.902093
54177.544271,480,1272.871465
50666.745681,480,1274.140241
50200.526663,480,1275.937678
51643.882594,480,1281.43507
51420.330391,480,1282.413287
51864.283916,480,1283.338265
53193.448897,480,1285.405288
52795.891024,480,1289.89463
51231.627805,480,1290.822391
52339.497339,480,1291.86839
51510.619879,480,1292.800179
50133.232429,480,1298.284171
50339.649487,480,1299.25942
51766.603784,480,1300.112436
50276.927779,480,1301.018462
51567.53518,480,1301.934841
52311.11901,480,1306.642941
50654.052962,480,1307.578373
49932.118129,480,1308.446192
51345.750826,480,1309.27173
51682.158871,480,1313.736961
50473.571675,480,1314.559273
51216.423091,480,1315.429161
50803.102693,480,1316.406354
52848.293946,480,1320.813521
50692.140898,480,1321.64321
50318.638194,480,1322.436585
52681.879238,480,1323.241121
51553.062434,480,1327.796284
52153.354404,480,1328.795488
53088.506719,480,1329.642659
51056.880351,480,1330.53877
50692.020358,480,1331.549064
