#{"t_start": 1768000920.9830794, "env_id": "None"}
r,l,t
50897.904925,480,1.251307
52269.500508,480,2.347852
52266.279879,480,3.478168
52933.565277,480,4.602115
51081.564513,480,9.631725
50551.538793,480,10.652926
50542.040892,480,11.588296
50890.632853,480,12.595802
50394.337662,480,17.174765
51693.034388,480,18.119887
50245.016679,480,19.04582
51428.788622,480,19.951475
50640.145837,480,25.410285
52784.938567,480,26.433508
51036.795648,480,27.493987
52016.176805,480,28.614537
50642.657034,480,29.681452
51301.194018,480,35.387766
51720.253239,480,36.419584
51868.602103,480,37.475855
51422.288975,480,38.486152
50937.16395,480,43.547286
50151.633576,480,44.496813
50968.53275,480,45.405507
50914.44218,480,46.372842
51107.73281,480,51.467295
50653.773438,480,52.398341
51595.116448,480,53.434995
51522.807954,480,54.492181
51666.658007,480,60.135584
50029.811425,480,61.26459
51016.970827,480,62.32119
51193.836581,480,63.37044
49840.685764,480,64.44985
51508.881283,480,70.576514
50769.331851,480,71.596696
51624.652098,480,72.649107
51295.966644,480,73.682244
50396.95445,480,79.22451
50965.693718,480,80.267379
51570.122571,480,81.325134
50646.519615,480,82.372586
50807.550702,480,88.388827
50974.140429,480,89.587029
52016.766089,480,90.874593
52914.923724,480,91.943663
50801.48252,480,98.156741
51864.898254,480,99.128197
49407.682238,480,100.106918
50561.680113,480,101.092225
50435.079368,480,102.057275
51761.11518,480,107.091271
51286.577833,480,108.029575
51841.876539,480,108.979186
50357.251172,480,109.906806
49629.829579,480,115.58448
49130.24049,480,116.69098
51379.909943,480,117.7191
51668.39189,480,118.805735
49614.907226,480,124.387742
51070.58007,480,125.425907
50252.932964,480,126.487698
50944.881523,480,127.55941
50045.857776,480,128.602607
51183.130767,480,133.860798
49485.160421,480,134.781438
51499.454322,480,135.755574
51639.021346,480,136.721206
51273.595633,480,141.95353
51557.483001,480,142.894197
51026.221351,480,143.948009
52366.066583,480,144.98646
50460.286115,480,150.799489
51363.408688,480,151.822273
50447.869445,480,152.930132
50881.324169,480,153.959844
49704.97916,480,159.465423
52405.016782,480,160.421769
51483.732052,480,161.355767
51518.084438,480,162.341598
50134.164581,480,163.337481
50345.519107,480,168.484809
51212.505403,480,169.404478
51494.112421,480,170.363611
50139.427294,480,171.340461
51444.164951,480,176.814651
51139.740633,480,178.304466
51993.643959,480,179.795286
52541.338462,480,181.034641
51892.827716,480,187.391355
51745.550369,480,188.450912
52118.698498,480,189.391092
51767.831809,480,190.48301
51000.751018,480,195.896368
50128.884545,480,196.89201
51232.80476,480,197.832607
51449.865107,480,198.78725
51921.370833,480,199.961845
54292.937318,480,205.799731
51142.374937,480,206.86884
50588.579803,480,207.943319
52022.538189,480,209.007578
50677.057273,480,215.411887
51956.82865,480,216.672217
52526.486865,480,217.804848
52407.060976,480,218.974967
49473.00732,480,225.724884
52082.138842,480,226.944189
53673.479305,480,228.195135
50405.557725,480,229.431314
51113.680682,480,235.92233
50279.75894,480,237.263823
51249.54761,480,238.74046
49965.884134,480,240.229565
50920.946736,480,241.683378
51607.729201,480,249.439958
51355.648886,480,251.068132
50713.850441,480,252.619495
52191.444891,480,254.128669
50164.487461,480,260.796323
53060.351513,480,262.089734
51722.25419,480,263.420469
51006.381061,480,264.737378
51759.315695,480,271.635322
52099.22898,480,272.935885
49635.667677,480,274.261626
49938.97169,480,275.661448
51565.697,480,276.9696
52126.41557,480,284.004479
49255.221499,480,285.273908
51065.536871,480,286.556773
49840.479902,480,287.830635
50619.888405,480,294.950973
50915.475973,480,296.187549
51118.319972,480,297.265944
48750.403999,480,298.283153
49751.831413,480,303.962235
50953.91573,480,304.984138
51549.523734,480,306.02122
50931.257744,480,307.06553
50111.863436,480,312.409746
51444.339164,480,313.366448
49453.441757,480,314.315295
53586.530257,480,315.261133
51160.795062,480,316.230284
49808.89548,480,321.332898
49778.138745,480,322.275306
51174.80971,480,323.224975
52451.424125,480,324.185215
52753.356633,480,329.813582
52700.652916,480,330.809282
49704.879095,480,331.849808
52274.318662,480,332.913822
51943.30051,480,338.424811
51848.698789,480,339.426455
51625.064019,480,340.370105
51005.648096,480,341.347985
51007.959635,480,346.426705
51908.664955,480,347.39782
50988.864735,480,348.334182
50692.464606,480,349.265139
50573.004253,480,350.20191
50681.524509,480,355.383638
51094.390352,480,356.422345
52262.879089,480,357.4676
50165.802005,480,358.475836
52185.636218,480,364.321378
52841.117522,480,365.357515
51902.918876,480,366.404914
51403.898421,480,367.739012
51028.066439,480,373.271936
51677.074152,480,374.243049
51371.033489,480,375.184593
52194.031836,480,376.156733
51213.88238,480,381.337068
51803.211157,480,382.280516
50806.468588,480,383.239631
49105.984654,480,384.234758
51716.07178,480,385.297235
51228.499684,480,390.927784
50468.936629,480,391.923905
50825.598264,480,392.978811
50124.559802,480,394.004445
50071.841035,480,399.488794
50426.876285,480,400.40409
51763.119423,480,401.336398
49691.726563,480,402.233645
51257.530876,480,407.27915
51152.467753,480,408.180139
52952.693265,480,409.114777
49782.83929,480,410.024309
50041.400511,480,410.979934
51509.134092,480,416.192822
50895.961774,480,417.296553
50679.686501,480,418.420007
51003.917737,480,419.476144
54453.315428,480,425.186436
50079.872857,480,426.232091
49903.870723,480,427.314739
51544.740001,480,428.452771
50354.966814,480,433.826794
50004.831063,480,434.782426
51112.032082,480,435.769344
51375.515999,480,436.685861
50874.744579,480,441.851521
51116.604009,480,442.786977
50751.786506,480,443.757588
49999.745639,480,444.776704
51981.652058,480,445.841203
