#{"t_start": 1767991165.512576, "env_id": "None"}
r,l,t
27570.665711,480,2.968718
27227.844948,480,3.510222
28245.469414,480,4.041129
28566.854514,480,4.540154
29368.31387,480,8.039632
28423.262903,480,9.384271
30008.615672,480,10.495899
31304.662203,480,11.317271
30314.558393,480,15.133159
31068.848382,480,16.546166
30975.901835,480,17.731994
33785.613538,480,19.068136
32470.690541,480,22.503053
33060.969052,480,23.057677
33002.180269,480,23.593318
34755.233123,480,24.666754
32957.886423,480,25.484878
34631.31447,480,29.144907
33408.490311,480,29.718816
34739.495341,480,30.262378
36082.219552,480,30.836529
37695.55656,480,35.014225
35768.100123,480,36.033319
35840.02948,480,36.973764
34265.922617,480,37.948626
36445.984806,480,41.771086
37527.701443,480,42.713947
36985.264419,480,44.061472
37201.799955,480,44.980061
36758.679154,480,47.841831
39999.207407,480,48.437638
36968.405577,480,48.92973
39398.009501,480,49.686112
39583.628726,480,50.672227
40043.524546,480,54.487098
39463.578302,480,55.093623
38603.77067,480,56.104208
39364.989375,480,57.220861
41385.059029,480,61.964824
41238.229361,480,62.499621
40418.496128,480,63.104243
39933.058315,480,63.617251
39372.871427,480,66.638388
39425.457538,480,67.183767
42027.27346,480,67.885834
40879.047825,480,68.63199
41489.511393,480,72.940324
41914.460538,480,73.609266
43430.395189,480,74.146256
43914.24129,480,74.742897
42384.623909,480,75.51936
43413.476813,480,79.708355
41335.325983,480,80.267747
42704.432487,480,80.793511
42157.435288,480,81.304027
44280.174566,480,84.440217
44034.304647,480,85.114012
42086.816777,480,85.917917
44378.431264,480,86.928671
44320.576174,480,90.97653
45507.062678,480,91.569173
42570.266385,480,92.11943
43895.215733,480,92.687796
46419.613136,480,93.206679
44830.205264,480,97.039567
44325.651359,480,97.531473
43188.176616,480,98.051273
43093.996584,480,98.635921
43455.441386,480,102.331572
45841.464819,480,103.345423
44097.523858,480,104.400466
44024.399047,480,105.036895
43381.363976,480,108.368976
47052.325521,480,108.90968
46798.196203,480,109.428717
45064.325557,480,110.092415
45438.945046,480,114.200678
48876.249478,480,114.725218
47217.154872,480,115.403869
47341.392801,480,116.290353
46779.291379,480,117.559117
47526.680059,480,123.049431
46994.744057,480,123.558535
47089.375367,480,124.065576
47133.236665,480,124.579217
48111.617488,480,127.557782
47693.422402,480,128.583978
48353.707984,480,129.32915
