#{"t_start": 1767994055.188995, "env_id": "None"}
r,l,t
50704.604511,480,0.981196
49657.928142,480,1.973607
49567.766647,480,2.890892
50506.187932,480,3.826238
48928.681781,480,10.727216
48387.904557,480,11.730729
49029.888263,480,12.675699
50477.520996,480,13.752332
47672.108369,480,20.320327
50152.567601,480,22.36194
49836.67148,480,24.241316
48410.401013,480,26.6252
50105.107558,480,33.257587
50342.090256,480,34.629369
49553.102857,480,37.600739
50126.746321,480,40.269084
49782.536757,480,41.166459
50394.706106,480,46.067987
50344.375035,480,46.98837
51483.038146,480,47.904058
47189.063029,480,48.822006
48583.968485,480,57.335572
51906.613495,480,58.346115
50966.881821,480,59.220202
48496.041313,480,60.118377
50721.829188,480,65.145664
48090.022449,480,67.74256
51138.61038,480,69.841587
48782.632354,480,70.781733
49269.887241,480,75.405975
48788.828587,480,76.275602
48881.541433,480,77.359275
50054.81253,480,78.795576
47460.258283,480,79.80727
49324.399432,480,88.013989
48486.469165,480,88.894249
48959.359718,480,89.998379
48312.061958,480,91.004322
47996.986225,480,97.672612
49540.778438,480,99.251792
47692.050144,480,100.186949
49561.889446,480,101.11913
50008.5288,480,106.4301
48759.686097,480,107.814757
48956.599595,480,109.196985
49507.441538,480,110.240007
48206.338815,480,117.118792
48553.200327,480,118.630561
49975.589023,480,119.486236
49441.99529,480,121.242094
50742.287111,480,122.494103
48196.033399,480,130.678359
50315.8123,480,131.943172
48343.980866,480,132.806447
48374.405865,480,134.148689
49271.816331,480,142.448058
48722.729547,480,144.255241
48419.95337,480,145.749672
48775.952524,480,147.02521
48650.823537,480,154.075348
49463.329202,480,155.26953
49422.218101,480,157.613955
48632.086092,480,158.768883
49567.413226,480,159.763539
48496.82762,480,165.078464
49831.383768,480,166.036609
50070.151807,480,166.980123
48188.371769,480,167.84581
50176.222236,480,174.638031
49523.681278,480,175.506701
50247.275877,480,176.704809
49995.950022,480,178.322531
47938.718477,480,187.570858
49828.867307,480,188.833801
49588.34436,480,189.930136
49977.876635,480,191.085582
48471.550492,480,197.745297
49638.967267,480,198.613123
48155.457999,480,199.551327
47116.300994,480,200.558344
50985.286604,480,202.668909
49863.008155,480,207.398641
49011.74633,480,208.258347
51140.721858,480,209.192865
48569.855695,480,210.549448
49049.009582,480,216.631358
49085.498698,480,218.394383
50903.420782,480,219.483047
49995.922153,480,220.3638
50750.79989,480,225.284541
50535.361101,480,226.223073
49975.055514,480,227.10019
51307.217007,480,228.025264
52220.771752,480,235.049007
49486.759728,480,235.998567
50584.543738,480,236.975054
52141.390097,480,237.860699
51091.527301,480,239.281384
50286.028758,480,245.19721
51725.707263,480,247.473106
50157.561206,480,249.865348
50916.551917,480,251.697249
49165.193591,480,257.429122
49491.981212,480,258.334535
50608.96031,480,259.369545
50286.794491,480,260.439911
51414.774121,480,268.578498
51016.91975,480,270.202934
49797.275746,480,271.355166
50715.30096,480,272.201634
49958.370624,480,279.943233
51404.88137,480,281.284094
51504.175018,480,282.392435
49742.381752,480,283.22947
50551.413583,480,284.196153
49506.563562,480,289.818455
50618.365777,480,291.427278
50978.498318,480,293.957895
49334.65067,480,295.198884
50882.146454,480,300.28128
49426.240374,480,301.249699
51110.221768,480,302.120353
53976.305967,480,302.913871
51174.058363,480,310.355793
51016.706767,480,311.347548
49962.326311,480,312.512598
50310.222425,480,313.418002
51394.94499,480,314.331603
49260.851956,480,319.45009
51630.837144,480,321.47296
50085.423622,480,324.133135
52236.553343,480,326.950276
50680.654842,480,332.697936
50555.173138,480,333.534414
50944.172752,480,334.391005
50567.837545,480,335.334718
49937.260234,480,343.745293
50868.077335,480,344.561692
51490.544778,480,346.149702
51462.106747,480,347.345843
50155.039396,480,354.192636
50755.366019,480,355.154614
50351.593113,480,356.077329
49803.864142,480,356.934218
50552.396783,480,357.814345
49793.365419,480,362.974898
49417.304406,480,363.902763
49725.264271,480,364.910887
49689.417403,480,366.331918
50099.417428,480,373.505372
51850.335942,480,374.388363
51072.563346,480,375.291483
50487.78972,480,376.221898
49856.660869,480,381.855656
49330.270412,480,384.648718
51088.744993,480,387.206064
50829.108952,480,388.502251
51780.570772,480,395.683188
49838.72474,480,398.051187
51711.163734,480,399.771058
51204.864257,480,400.63532
51853.597354,480,401.920331
49787.89127,480,406.610788
50242.746965,480,407.513498
50644.561019,480,408.782322
50456.529868,480,410.097846
49837.874006,480,417.360349
50083.444979,480,418.490178
49259.205523,480,419.963404
51021.980699,480,421.03301
50957.297691,480,426.804137
50870.844625,480,428.41817
51615.985767,480,429.488485
52600.599347,480,430.617509
51333.190783,480,435.805766
50047.295848,480,436.684835
50551.035866,480,437.690465
50912.540519,480,438.607138
51410.479947,480,439.491966
48678.937205,480,446.375581
52913.886776,480,447.365898
52470.21977,480,448.729404
52149.509386,480,449.672114
49656.027006,480,454.490843
51059.204873,480,455.576583
50162.871163,480,458.082287
53359.695685,480,460.707533
50346.399528,480,466.377431
50697.160051,480,467.309748
50119.890938,480,468.190571
48615.928608,480,469.124562
51845.238383,480,470.525582
50829.519398,480,478.473637
50781.810025,480,479.39453
49596.896282,480,480.244853
51216.351061,480,481.115772
50838.099857,480,488.626389
51941.75877,480,489.953225
50799.62959,480,491.283924
51289.869818,480,492.711966
49084.944194,480,498.93788
48906.899232,480,499.817476
49395.936945,480,500.839514
50265.442047,480,503.210238
51063.918238,480,510.691893
50608.676075,480,511.559003
50603.01697,480,512.401493
51427.511611,480,513.339212
52175.524981,480,514.362028
51602.439389,480,523.068187
49876.419003,480,524.080726
51218.400493,480,524.91836
50484.5561,480,525.889969
49491.239652,480,530.845713
50989.971504,480,533.280048
51676.289005,480,535.077983
50278.260043,480,536.183533
51068.298285,480,540.836599
50971.1208,480,542.246633
52057.752171,480,543.531981
49998.036139,480,544.558996
52229.740939,480,552.301614
51751.332986,480,553.171086
51663.220054,480,554.354144
51575.951953,480,555.185498
51950.949227,480,556.112276
50843.023397,480,561.882001
51206.176397,480,563.885574
50706.782891,480,564.925653
50930.240769,480,565.902408
48647.396963,480,571.246902
48652.990934,480,572.046189
51082.935929,480,572.946802
49538.006933,480,573.775371
51609.341082,480,582.623346
49042.054669,480,583.481347
48411.600405,480,584.34288
51996.79916,480,585.566166
50938.733626,480,594.958152
51328.008018,480,596.296328
50798.200767,480,597.166679
49451.262794,480,598.084089
49622.581031,480,598.931932
50328.682342,480,604.269401
52007.340793,480,605.243241
51085.089022,480,607.998099
52294.668917,480,609.374224
49554.207427,480,614.59397
48604.114292,480,615.618885
51218.57794,480,616.585452
50652.166853,480,617.523167
51379.263689,480,623.432952
50116.255095,480,624.883204
50691.796685,480,625.879177
49338.962393,480,626.93723
