#{"t_start": 1767995772.1991808, "env_id": "None"}
r,l,t
49668.927845,480,0.716985
49840.959614,480,1.460825
49705.048861,480,2.368622
50202.63942,480,3.406341
50864.650404,480,6.68528
51879.454153,480,7.317333
51760.908502,480,8.083302
51216.148903,480,8.684936
51056.247342,480,11.202684
51145.722548,480,11.651588
50492.388212,480,12.12454
49797.63771,480,12.688701
50841.914262,480,15.752751
51026.239113,480,16.678565
52157.390713,480,17.655818
51230.53358,480,18.393159
51047.365763,480,19.024094
50981.163592,480,21.52836
50471.943798,480,22.252975
50097.964244,480,22.96647
53195.542125,480,23.472322
52906.827424,480,26.586176
50509.438412,480,27.140113
51192.617869,480,27.701856
49974.963384,480,28.343915
50147.071508,480,31.301693
49997.239926,480,32.30963
48656.506047,480,33.410798
51975.853223,480,34.237436
49874.007325,480,36.742678
51746.721266,480,37.33784
50525.579209,480,37.874317
50622.442407,480,38.493878
52117.725459,480,39.144169
50134.471385,480,42.285357
50179.755125,480,42.856082
51019.657021,480,43.340718
51690.447181,480,43.765219
51476.325719,480,46.075867
49720.224915,480,47.045686
48546.108683,480,48.184451
50007.144474,480,49.219287
49219.215794,480,51.968321
49631.899265,480,52.63813
50553.114943,480,53.215853
50623.395144,480,53.856379
50435.855418,480,56.820849
48933.199547,480,57.651336
50135.476946,480,58.25838
48077.004007,480,58.824715
50133.883976,480,59.315348
51544.439347,480,62.152009
50260.173727,480,63.383423
50572.452148,480,64.36184
49349.100377,480,65.383321
49608.59186,480,67.739404
49971.092874,480,68.373117
49824.67582,480,68.9447
50096.402393,480,69.477716
52108.2901,480,71.66896
50563.70436,480,72.400128
50003.108364,480,73.222728
49647.91828,480,73.798383
50090.116095,480,74.287843
50149.653465,480,76.941249
51040.187341,480,77.870507
51848.993176,480,79.057332
52468.610302,480,80.219075
50768.10457,480,83.756824
51838.007403,480,84.270499
51091.213231,480,84.91489
52202.971064,480,85.386921
51006.98642,480,87.677155
52072.286107,480,88.497386
48813.810986,480,89.268567
51321.639589,480,89.929034
50162.864721,480,93.582492
49271.345644,480,94.527901
50844.145428,480,95.114135
51295.092179,480,95.86161
51959.803543,480,96.691343
50363.015569,480,99.10462
51813.76919,480,99.785676
50501.671903,480,100.349119
51692.790012,480,100.871029
48958.359341,480,103.066839
50087.732646,480,103.558366
50430.509793,480,104.01755
49572.094463,480,104.706245
49092.85733,480,108.205841
49660.860173,480,109.192208
50000.813537,480,110.217205
51042.867169,480,110.827821
51484.011,480,113.577132
48936.057933,480,114.1084
49334.320205,480,114.573953
48078.032763,480,115.188743
48237.336078,480,115.754255
49852.518862,480,118.074098
48822.068348,480,118.648305
49817.56588,480,119.118829
50594.145299,480,119.589917
49779.912319,480,123.041817
46877.471618,480,123.865787
50026.673112,480,124.572152
48583.684983,480,125.03667
49855.260825,480,127.604915
49495.802765,480,128.239716
47888.466268,480,128.887709
48669.322965,480,129.444131
48771.490922,480,132.588385
49568.893541,480,133.028799
48582.559352,480,133.43294
47600.931252,480,133.836375
50456.241521,480,134.238115
49588.490072,480,137.200534
50266.855342,480,138.18517
50135.101559,480,139.065001
49372.610097,480,139.716009
48654.529732,480,142.405408
49250.685725,480,142.92145
50482.736409,480,143.36585
49544.639634,480,143.884236
49518.72506,480,146.746103
49178.377501,480,147.285735
49385.306694,480,148.093432
49258.05772,480,148.596358
49409.169714,480,149.242302
47373.232691,480,152.064293
49121.479699,480,153.00409
50320.940087,480,154.059262
51621.398327,480,154.977352
49918.030049,480,157.783131
50084.578398,480,158.291785
51581.403623,480,158.735355
49366.691608,480,159.137212
48010.922427,480,161.361341
49360.618201,480,161.971234
49086.666541,480,162.637987
51867.65707,480,163.296872
50829.078912,480,168.428447
49136.637046,480,170.303421
51944.831421,480,172.754956
49754.282257,480,174.486436
48176.936574,480,175.978387
50410.050213,480,186.034595
49373.111971,480,187.51297
49436.416261,480,189.489194
49071.300023,480,191.996802
50592.920302,480,204.282499
50379.266522,480,205.561112
49144.670987,480,207.462313
50238.534306,480,208.478526
49293.598365,480,216.890419
50964.373822,480,217.933629
49708.143319,480,218.849538
48717.564185,480,219.944913
49253.392329,480,224.912448
49577.083752,480,226.158276
49280.138651,480,229.203106
51647.928601,480,231.979956
50406.265809,480,234.302433
51111.882855,480,241.692757
48740.608727,480,244.088806
49172.995092,480,245.74669
49407.058783,480,247.180584
49835.167337,480,252.894159
49480.299788,480,254.003537
49940.423445,480,255.166765
49799.323715,480,256.262445
51395.436252,480,265.075588
49190.920286,480,266.662968
50500.653081,480,269.016223
50145.670524,480,270.648476
51389.289651,480,280.424487
51291.827684,480,281.497374
50348.031662,480,283.213398
51484.609251,480,284.425741
50816.523301,480,286.339706
49329.986395,480,296.506327
49529.220675,480,298.276743
50067.328798,480,299.303748
50547.555917,480,301.280482
51187.894897,480,309.989507
49837.404995,480,311.236467
50802.477361,480,312.471217
49666.809342,480,313.880111
50354.479851,480,324.273784
50426.854335,480,326.460303
51261.782183,480,328.313695
50402.572297,480,330.5996
50248.527723,480,333.128758
51820.808754,480,340.60208
51908.232977,480,341.623741
48758.118079,480,342.844344
48603.488392,480,344.220191
51747.675252,480,352.900881
49453.647339,480,354.733248
50852.083502,480,356.162358
50688.779601,480,357.78298
50386.492804,480,366.024465
51518.415711,480,367.460483
50411.788366,480,368.8981
50561.759222,480,370.032864
51040.675171,480,377.084793
50530.638185,480,379.24124
50106.422296,480,381.350335
50307.999144,480,382.549742
50246.488584,480,384.05343
50471.435788,480,390.6037
51062.550808,480,392.668577
49988.78271,480,394.390204
50184.420922,480,395.583898
50174.863257,480,401.14024
49639.346316,480,402.567166
50882.521356,480,403.70745
50247.059369,480,404.748261
50389.120572,480,412.350324
50259.161672,480,413.692146
49895.41663,480,414.667348
50713.64352,480,415.734285
50562.664011,480,421.087848
51483.238027,480,423.356866
50992.958665,480,425.25428
51882.520258,480,426.808484
52373.994277,480,427.88922
49849.944221,480,433.083838
51464.583081,480,434.422773
50845.934171,480,436.065659
49477.03841,480,438.065531
52255.790378,480,445.357491
50795.856397,480,446.305814
50424.316739,480,447.2224
50091.697393,480,448.335538
50147.673257,480,456.08678
50765.871349,480,457.056339
49736.301355,480,458.011384
49592.972175,480,459.139569
50590.176535,480,465.09952
51097.980413,480,468.264815
51713.757516,480,470.268622
51570.120289,480,471.871676
50697.586771,480,473.032869
50875.626043,480,480.333846
51968.413084,480,482.03822
51320.815058,480,484.468361
50329.976175,480,486.353813
49871.813029,480,494.997597
52074.342355,480,496.649246
49353.905345,480,499.639524
51378.501311,480,501.609841
49363.999084,480,509.900944
50949.340087,480,511.11839
49591.130284,480,513.504737
52532.773995,480,515.793147
49048.767082,480,517.159946
50013.793624,480,523.207763
49202.868451,480,524.690486
52049.948425,480,526.184358
49045.936069,480,528.406318
49466.032291,480,536.159522
50478.10021,480,537.380393
51170.266275,480,538.467655
52231.194103,480,539.551208
49785.496012,480,548.22284
51323.53416,480,549.409822
49250.907026,480,550.642887
50705.88286,480,551.774814
49374.186773,480,559.034075
49892.635813,480,561.557587
51267.427021,480,562.714631
51500.727705,480,563.645445
50956.707282,480,564.909688
49987.495498,480,574.1962
50533.518596,480,575.688177
50901.143411,480,576.771055
49666.034172,480,578.019742
50286.365854,480,583.774094
50337.822715,480,585.166569
50169.910415,480,586.372006
52117.578687,480,588.664338
50625.148752,480,595.140409
51481.124722,480,596.165565
52385.032205,480,597.478912
50067.033168,480,598.681508
50451.74685,480,606.358406
51628.068392,480,607.929702
48727.69175,480,608.955963
52297.246349,480,610.157858
50525.30404,480,611.42064
50813.393003,480,618.796923
51970.972085,480,619.980922
50291.930439,480,621.195281
50673.367546,480,622.405705
50207.75617,480,627.653945
49207.157064,480,629.17073
50469.234227,480,630.352044
52147.461982,480,631.709586
51015.910885,480,639.690457
50633.864099,480,641.307359
52331.578823,480,642.355914
50306.873254,480,643.797271
50839.707698,480,651.474213
49282.515866,480,653.136423
50226.862742,480,654.538092
50124.152586,480,655.810903
50137.669755,480,656.911699
49463.689752,480,664.905419
50073.456189,480,665.928993
49752.223496,480,667.41603
50704.995171,480,668.512278
50782.219583,480,674.970934
51002.064724,480,676.097079
50790.03785,480,678.331547
50972.234471,480,679.957054
50425.531896,480,688.286714
49929.650166,480,689.657103
49902.785748,480,691.131269
50040.576373,480,692.660828
51463.018337,480,694.653182
51165.287238,480,700.399214
51048.961698,480,701.53554
50396.146081,480,702.845966
51706.764787,480,703.887975
51680.597138,480,712.054638
50173.879065,480,713.469343
48920.185993,480,714.635285
51195.994414,480,715.775998
50897.358517,480,723.364297
50871.744172,480,725.234191
50026.031651,480,726.585685
50779.828527,480,727.873221
50296.47006,480,734.803869
50499.955542,480,736.128345
51786.879392,480,737.346727
50584.26404,480,739.884308
51104.030824,480,741.651687
52128.364656,480,748.599537
51389.089653,480,749.989456
52993.841185,480,751.486937
49736.20461,480,753.936746
50668.056557,480,761.980807
52167.588554,480,763.371605
51400.019029,480,765.223329
53375.207597,480,768.595691
49783.767871,480,779.015751
51353.873282,480,780.367039
50255.760543,480,781.571416
49796.54579,480,783.798471
51475.096182,480,792.862789
51665.786289,480,794.262683
51356.365066,480,795.637413
52047.854785,480,796.922186
51140.170843,480,799.422117
52132.554898,480,808.384745
52422.9677,480,809.780145
51410.512035,480,811.86392
51433.151021,480,814.13827
53135.207894,480,821.33073
51001.839581,480,822.326879
50468.533897,480,823.252436
51428.95423,480,824.358639
51128.242019,480,834.225176
52165.372315,480,835.428755
50175.129009,480,836.593328
52725.276449,480,837.651333
50899.03523,480,845.086121
51874.839176,480,847.003265
52133.968537,480,848.829162
50674.897447,480,850.530113
51618.301917,480,851.936194
50363.399477,480,859.528058
51249.126654,480,860.598783
49742.46608,480,861.780667
51644.412263,480,862.981309
50293.656806,480,869.105753
53022.391736,480,870.281594
49672.074247,480,871.560085
49308.501504,480,874.054563
52120.781939,480,881.277923
54270.931034,480,882.68264
50505.866181,480,884.014138
49351.786887,480,885.282601
51031.82048,480,886.721906
50878.83447,480,895.273159
51373.868528,480,896.52089
50672.736718,480,897.577083
49624.536105,480,899.319535
50303.535464,480,907.735591
51038.5209,480,908.852574
50909.319292,480,911.177199
51697.536663,480,912.365665
49450.918748,480,920.542995
49537.70515,480,922.288333
48802.918231,480,923.87774
50879.718669,480,925.568367
49522.30017,480,931.847565
50751.878569,480,933.837546
50181.204818,480,935.208375
50551.370959,480,936.270045
51031.270927,480,937.995149
50952.321862,480,943.823243
52805.384381,480,944.762518
53667.762387,480,945.70949
51544.229719,480,946.633982
52641.581058,480,955.574895
52123.158638,480,956.992094
52183.055054,480,959.32066
50510.635062,480,961.442901
52456.857665,480,970.68516
51314.06949,480,972.853564
51696.514047,480,974.974622
52934.027084,480,976.692897
51884.43197,480,987.024347
51901.01199,480,988.300292
51973.232594,480,990.392943
53780.425286,480,992.328336
51275.300397,480,995.133794
