#{"t_start": 1767995089.9555392, "env_id": "None"}
r,l,t
50705.396981,480,0.831501
48077.993122,480,1.619853
48670.588252,480,2.400207
48327.531019,480,3.370861
48793.92118,480,11.995234
48966.447416,480,13.251374
48515.118681,480,15.247176
48097.372385,480,17.180356
48993.708121,480,27.120286
50248.029035,480,28.803395
50668.380402,480,29.548308
49063.608578,480,30.34545
49318.765075,480,35.432024
49616.65814,480,36.477752
49491.92415,480,38.453036
49367.632243,480,40.005462
50967.348911,480,41.03167
51201.287369,480,47.852238
49773.027593,480,48.650905
50190.352378,480,49.630553
48866.1892,480,50.545861
48101.163096,480,57.703848
48099.545689,480,58.599272
48862.04368,480,59.432043
49185.602228,480,60.216221
46603.482194,480,65.46449
48812.896235,480,66.248463
49539.001537,480,67.23057
50646.330967,480,69.392304
48494.419279,480,74.98392
48981.696229,480,75.865395
51195.409482,480,76.59033
50038.704597,480,77.400878
50625.609513,480,78.276422
49000.966001,480,85.574209
50691.442769,480,86.457904
48939.94267,480,87.250981
49882.154316,480,88.033222
49873.098879,480,93.134106
49144.972938,480,94.003296
50059.849705,480,95.006675
49032.558462,480,95.903476
48492.93574,480,102.454543
48908.178909,480,103.635003
48241.160204,480,104.562111
50364.362122,480,105.362824
50083.196436,480,110.565388
50765.495895,480,111.34715
50413.515211,480,112.28498
48615.203356,480,114.335947
49749.657538,480,115.267261
49221.57573,480,120.54338
52433.279342,480,121.395313
49832.513396,480,122.312151
49368.703101,480,123.211705
50734.753542,480,129.637791
50982.453199,480,130.524489
49751.464979,480,131.402393
51003.387954,480,132.234671
49114.751192,480,137.537564
51863.765787,480,138.456714
51663.361481,480,139.261641
50641.124586,480,140.114328
50623.159336,480,140.882247
50462.541641,480,147.444048
50546.826488,480,148.21889
50024.376267,480,149.059368
50879.75085,480,149.950888
49676.253098,480,155.208966
52940.75747,480,156.038861
51208.132216,480,156.868205
49968.141716,480,158.910443
50832.562869,480,163.82665
50062.536836,480,164.596211
49742.306809,480,165.385634
50718.442366,480,166.269035
49830.380942,480,171.35028
49521.705927,480,172.09505
50510.617021,480,174.08178
51489.424154,480,175.065748
49898.985574,480,175.9328
52933.801236,480,181.036767
49848.420881,480,181.783419
50227.719041,480,182.549595
49604.32499,480,183.382445
51020.711466,480,189.903049
50918.286299,480,190.759352
49730.213319,480,191.665035
51233.525567,480,192.646059
52634.700475,480,198.119185
51659.624941,480,199.039591
51106.955386,480,199.949728
50667.76527,480,200.804292
50577.297693,480,207.656402
48623.686982,480,208.516301
49828.349356,480,209.296069
50828.287269,480,210.156772
50290.602685,480,211.052953
51384.816401,480,216.422632
51578.206686,480,217.474587
50442.622792,480,219.522068
51568.261155,480,220.420812
50665.806351,480,225.752169
50648.477878,480,226.685087
49503.083523,480,227.513635
50627.131494,480,228.349583
50728.095551,480,235.235913
52060.785718,480,236.333562
51563.842101,480,237.139158
49349.859401,480,237.946826
50423.333241,480,243.726057
51497.02934,480,244.521264
52851.201414,480,245.383837
50386.489418,480,246.252134
51357.787297,480,247.125702
50469.757609,480,254.48955
51104.663858,480,255.369533
50829.461332,480,256.17161
50638.726468,480,256.93744
52541.648312,480,262.2679
51874.558216,480,264.463181
50730.601782,480,265.61169
51068.145605,480,266.339366
50595.998065,480,271.893886
50631.193545,480,272.720015
50707.216977,480,273.622266
50656.927726,480,274.500096
48521.525888,480,275.285744
50978.99138,480,282.066102
51243.515666,480,282.817367
51351.442687,480,283.803311
49231.734024,480,284.760437
52101.185023,480,289.983939
48893.931988,480,290.787742
49653.739184,480,291.527598
48762.353442,480,292.435886
48536.174552,480,300.789995
51488.755312,480,302.028016
49888.403008,480,302.79003
49731.397399,480,303.309714
49747.078943,480,306.195085
51174.743567,480,306.658879
50139.941124,480,307.277769
51367.414509,480,308.073925
50168.075296,480,308.834085
50043.454244,480,313.094388
49943.300928,480,313.574289
50765.644141,480,314.049087
49402.651602,480,314.544316
51796.643169,480,317.849965
50623.837315,480,318.778958
50545.300827,480,320.362287
51862.972858,480,321.066662
49245.007938,480,324.850873
51050.999735,480,325.743092
51506.818817,480,326.940056
52604.193855,480,327.854713
50910.159906,480,331.289836
52010.833567,480,331.956991
51807.4115,480,332.458956
50171.741491,480,333.062292
52683.369365,480,333.841455
49516.264735,480,337.922664
51695.360467,480,338.700575
50054.776871,480,339.580837
