day,milp_oracle_eur,bc_policy_eur
1,124843.7937,116523.9877
2,84033.3333,84033.3333
3,94240.0000,94240.0000
4,54151.2000,54151.2000
5,78972.7833,78972.7833
6,57086.5500,57086.5500
7,39443.3333,39443.3333
8,75948.8833,75948.8833
9,82588.8000,82588.8000
10,53266.8000,53266.8000
11,56723.0000,56723.0000
12,73723.6735,61209.1061
13,79231.4046,78961.0854
14,62929.7088,62957.2614
15,84583.3333,84583.3333
16,42083.3333,42083.3333
17,91458.3333,91458.3333
18,133019.5667,133019.5667
19,111806.7667,111806.7667
20,73737.5667,73737.5667
21,65600.0000,65600.0000
22,140662.0500,140662.0500
23,61451.6667,61451.6667
24,62850.0000,62850.0000
25,68890.7333,68890.7333
26,75091.6667,75091.6667
27,71007.3667,71007.3667
28,102326.6500,102326.6500
29,147166.6667,147166.6667
30,75091.6667,75091.6667
31,76961.4333,76961.4333
32,117316.6667,117316.6667
33,109891.6667,109891.6667
34,49233.3333,49233.3333
35,88708.3333,88708.3333
36,64225.0000,64225.0000
37,87552.7833,87552.7833
38,125222.6833,125222.6833
39,71791.6667,71791.6667
40,160916.6667,160916.6667
41,90083.3333,90083.3333
42,98420.0000,98420.0000
43,67666.6667,67666.6667
44,115941.6667,115941.6667
45,71668.4667,71668.4667
46,55723.1000,55723.1000
47,86123.3333,86123.3333
48,90083.3333,90083.3333
49,92833.3333,92833.3333
50,81558.3333,81558.3333
51,22790.1167,22790.1167
52,53030.3000,53030.3000
53,56250.0000,56250.0000
54,56800.0000,56800.0000
55,77016.6667,77016.6667
56,105075.0000,105075.0000
57,92907.9000,92907.9000
58,67689.2167,67689.2167
59,82413.5833,82413.5833
60,53257.4500,53257.4500
61,17875.0000,17875.0000
62,54273.8500,54273.8500
63,94586.5000,94586.5000
64,99808.5167,99808.5167
65,125668.5000,125668.5000
66,82545.9000,82545.9000
67,111093.4167,111093.4167
68,71814.7667,71814.7667
69,60650.0000,60650.0000
70,88456.2000,88456.2000
71,49238.5205,55425.0000
72,61742.3000,61742.3000
73,54572.7858,45658.3333
74,64046.7252,56855.0000
75,111479.2556,121672.1167
76,44283.3333,44283.3333
77,127369.3333,127369.3333
78,89887.8500,89887.8500
79,133408.3333,133408.3333
80,80458.3333,80458.3333
81,27819.8667,27819.8667
82,61315.2667,61315.2667
83,55859.9379,65509.5667
84,86311.9833,86311.9833
85,89389.0998,111158.3167
86,119152.8833,119152.8833
87,97747.9000,97747.9000
88,34241.6667,34241.6667
89,104578.3500,104578.3500
90,93525.0000,93525.0000
91,91623.3333,91623.3333
92,88708.3333,88708.3333
