day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,23505.3238,28378.8725,-5312.8510,8736.6630
2,35747.5750,37794.2649,-9534.1829,8385.4656
3,27032.1603,15468.5376,-9502.2948,8883.9058
4,12172.8748,19159.1387,-9557.2599,-9557.2599
5,2240.1847,4060.9508,-9557.2599,6631.8150
6,27425.3774,21016.3365,-9557.2599,-8986.4663
7,21681.6316,21380.4266,-9534.1829,-9521.5456
8,46058.3606,48909.4702,-9534.1829,-6111.7359
9,11822.5187,11173.6497,-8969.3172,-5248.3660
10,17247.5722,17240.9790,-9557.2599,-2615.9628
11,8500.0365,9600.0159,-9599.1685,-3729.1358
12,9847.5055,20355.3969,-8042.8445,2613.8628
13,2579.6151,1630.0435,-7518.8438,-6066.6615
14,7681.0010,88.3816,-9529.9871,-8898.7963
15,291.0860,1528.5859,-9451.5256,-2133.8485
16,959.6807,15136.0108,-9557.2599,-4820.4974
17,21339.0403,21339.0716,-9481.4906,9160.1076
18,38263.3525,27877.3566,-6993.0040,5263.2843
19,33567.8371,18137.9449,-7566.8331,5941.3123
20,4065.6458,-4057.2599,-9511.1060,-9462.0218
21,11630.7179,-7082.2599,-9534.1829,-9557.2599
22,37722.3400,24751.9378,-8346.7627,4427.7064
23,-2189.3111,4698.0833,-9532.2599,-138.2920
24,81902.8450,73992.3480,-9534.1829,-750.7196
25,20053.3834,22984.2363,-9500.7564,-1237.4785
26,16289.9650,12857.6449,-9459.2179,3509.4366
27,4362.2155,2401.4121,-9502.2948,-9063.5977
28,27798.0588,18662.4083,-9557.2599,-9557.2599
29,32449.7402,39799.0842,-8724.0208,-8013.1250
30,23883.0997,5776.4267,-8901.5668,-5682.8880
31,55212.3280,50071.7889,-9557.2599,-6153.6074
32,27386.0345,9825.9913,-9511.1060,-4508.9239
33,18624.2848,29048.0028,-9534.1829,-9557.2599
34,2313.9997,2224.3843,-8660.3661,-9557.2599
35,3528.9129,-5982.2599,-9534.1829,-9521.5456
36,21776.2885,2006.8414,-9532.2599,10168.2775
37,6908.5317,2320.5175,-8599.2822,-7114.5393
38,44501.1550,33585.1204,-9557.2599,-6706.3953
39,11841.3820,25496.3918,-8540.7612,695.7836
40,19280.5468,19205.3291,-9433.0640,-7260.6319
41,7244.7460,21706.0696,-8997.2327,-9521.5456
42,19336.6672,19674.9381,-7681.2373,-9557.2599
43,5771.8140,-3689.4027,-8205.4368,-1750.8680
44,14339.7979,19715.8462,-8153.9033,6074.4190
45,10517.5772,19637.9022,-3850.1927,-1412.0820
46,30794.3692,26146.5172,-9486.4906,-8590.5176
47,36519.2715,33388.0001,-9455.7214,18521.8206
48,37112.3238,36657.7824,-9483.4137,-2602.1417
49,11143.9968,10593.9155,-8985.5139,-8841.5391
50,22494.3839,-2544.7599,-9482.6445,-525.1219
51,25921.5331,27817.2987,-9451.5256,10476.2162
52,-1518.0905,4379.8607,-9451.5256,-4623.2726
53,21935.9483,24051.6468,-9463.4137,-2363.7111
54,25808.7262,25537.8529,-9506.4906,6910.2509
55,14442.7059,14854.7939,-9557.2599,-6042.6638
56,3900.1622,13098.1534,-9488.0291,-9489.0780
57,14661.1749,15573.3677,-7449.1705,3614.6360
58,19176.2319,31165.9505,-9478.7983,10409.5343
59,27286.5792,-4519.7599,-9506.4906,1564.8457
60,47149.8813,44141.7798,-8841.1749,5943.6773
61,16949.0621,20115.7837,-9478.7983,12733.6210
62,24582.9447,10523.8142,-9460.3368,-6976.7183
63,60355.6110,13614.5773,-8401.1773,-9491.7837
64,-1995.0199,11275.3119,-9557.2599,21027.0028
65,25950.7492,25940.7510,-9406.5256,25808.3068
66,1009.2313,66.0457,-7439.4898,22921.9630
67,4466.6352,5291.4903,-9502.2948,18785.9190
68,-7357.2599,9229.8212,-9502.2948,9057.6682
69,11986.5906,21540.2568,-9557.2599,-1701.8725
70,7286.5984,1205.5424,-8550.5206,-9557.2599
71,872.4277,41499.3614,-9563.8350,5400.2616
72,11714.8110,-739.9687,-9557.2599,-4037.6129
73,-1147.5995,-6973.1689,-9450.3368,19177.1150
74,5179.4650,2340.4650,-9557.2599,3929.3753
75,11071.4294,2454.4650,-7480.8771,27582.7173
76,-1138.5718,-1582.2599,-9497.2599,-9557.2599
77,16941.7341,28308.2239,-7035.9483,-6889.9164
78,6164.5657,1387.1662,-9504.5675,18233.2021
79,22827.8423,5928.7660,-5787.4675,7976.0060
80,47125.5292,30448.0318,-9504.5675,9938.0306
81,2298.5763,-1067.8332,-9534.1829,-3653.0532
82,24893.6962,6002.9828,-7728.4061,11537.7051
83,18836.9689,32674.3883,-9186.8364,-2812.1619
84,45480.0261,23457.0612,-8615.9110,-9407.7063
85,-6807.2599,-5273.6060,-6920.3897,-4836.5315
86,24367.4804,18585.8805,-8333.5744,5747.8206
87,33630.6779,5686.1310,-7955.8226,-3217.3974
88,-7494.7599,-7494.7599,-8900.1281,-9557.2599
89,11822.4121,25721.4500,-9505.7214,1848.8043
90,27115.2251,29750.7342,-9464.9522,-9464.1863
91,892.7401,-1192.6765,-9532.2599,-9420.8962
92,4756.6097,-2044.0606,-9557.2599,5646.4617
