hour,phase,datetime,price_eur_mwh
0,pretrain,2023-11-02 00:00:00,85.01
1,pretrain,2023-11-02 01:00:00,50.1
2,pretrain,2023-11-02 02:00:00,31.0
3,pretrain,2023-11-02 03:00:00,31.44
4,pretrain,2023-11-02 04:00:00,31.0
5,pretrain,2023-11-02 05:00:00,48.75
6,pretrain,2023-11-02 06:00:00,118.66
7,pretrain,2023-11-02 07:00:00,148.04
8,pretrain,2023-11-02 08:00:00,184.15
9,pretrain,2023-11-02 09:00:00,160.0
10,pretrain,2023-11-02 10:00:00,136.04
11,pretrain,2023-11-02 11:00:00,128.74
12,pretrain,2023-11-02 12:00:00,115.87
13,pretrain,2023-11-02 13:00:00,119.9149
14,pretrain,2023-11-02 14:00:00,127.42
15,pretrain,2023-11-02 15:00:00,136.63
16,pretrain,2023-11-02 16:00:00,153.63
17,pretrain,2023-11-02 17:00:00,156.02
18,pretrain,2023-11-02 18:00:00,155.26
19,pretrain,2023-11-02 19:00:00,152.1
20,pretrain,2023-11-02 20:00:00,139.98
21,pretrain,2023-11-02 21:00:00,113.48
22,pretrain,2023-11-02 22:00:00,85.01
23,pretrain,2023-11-02 23:00:00,57.0418
24,pretrain,2023-11-03 00:00:00,15.17313
25,pretrain,2023-11-03 01:00:00,11.47343
26,pretrain,2023-11-03 02:00:00,10.0
27,pretrain,2023-11-03 03:00:00,8.0
28,pretrain,2023-11-03 04:00:00,9.73288
29,pretrain,2023-11-03 05:00:00,23.6
30,pretrain,2023-11-03 06:00:00,70.3
31,pretrain,2023-11-03 07:00:00,115.54
32,pretrain,2023-11-03 08:00:00,120.98
33,pretrain,2023-11-03 09:00:00,115.07011
34,pretrain,2023-11-03 10:00:00,85.54574
35,pretrain,2023-11-03 11:00:00,74.71261
36,pretrain,2023-11-03 12:00:00,57.74709
37,pretrain,2023-11-03 13:00:00,64.994
38,pretrain,2023-11-03 14:00:00,75.17856
39,pretrain,2023-11-03 15:00:00,109.09308
40,pretrain,2023-11-03 16:00:00,116.13
41,pretrain,2023-11-03 17:00:00,128.73
42,pretrain,2023-11-03 18:00:00,122.6
43,pretrain,2023-11-03 19:00:00,122.75
44,pretrain,2023-11-03 20:00:00,115.54
45,pretrain,2023-11-03 21:00:00,110.1
46,pretrain,2023-11-03 22:00:00,98.7
47,pretrain,2023-11-03 23:00:00,70.1
48,pretrain,2023-11-04 00:00:00,84.63
49,pretrain,2023-11-04 01:00:00,32.05995
50,pretrain,2023-11-04 02:00:00,30.0
51,pretrain,2023-11-04 03:00:00,22.0086
52,pretrain,2023-11-04 04:00:00,20.0
53,pretrain,2023-11-04 05:00:00,30.0
54,pretrain,2023-11-04 06:00:00,88.35
55,pretrain,2023-11-04 07:00:00,118.94
56,pretrain,2023-11-04 08:00:00,124.35
57,pretrain,2023-11-04 09:00:00,113.76
58,pretrain,2023-11-04 10:00:00,70.55
59,pretrain,2023-11-04 11:00:00,20.0
60,pretrain,2023-11-04 12:00:00,14.45838
61,pretrain,2023-11-04 13:00:00,18.87541
62,pretrain,2023-11-04 14:00:00,30.79473
63,pretrain,2023-11-04 15:00:00,47.28
64,pretrain,2023-11-04 16:00:00,126.74
65,pretrain,2023-11-04 17:00:00,129.73
66,pretrain,2023-11-04 18:00:00,131.56
67,pretrain,2023-11-04 19:00:00,133.38
68,pretrain,2023-11-04 20:00:00,129.73
69,pretrain,2023-11-04 21:00:00,100.0
70,pretrain,2023-11-04 22:00:00,103.08
71,pretrain,2023-11-04 23:00:00,68.0
72,pretrain,2023-11-05 00:00:00,113.2
73,pretrain,2023-11-05 01:00:00,103.0
74,pretrain,2023-11-05 02:00:00,53.4
75,pretrain,2023-11-05 03:00:00,40.0
76,pretrain,2023-11-05 04:00:00,31.0
77,pretrain,2023-11-05 05:00:00,32.15
78,pretrain,2023-11-05 06:00:00,92.12
79,pretrain,2023-11-05 07:00:00,98.94
80,pretrain,2023-11-05 08:00:00,31.51
81,pretrain,2023-11-05 09:00:00,16.49559
82,pretrain,2023-11-05 10:00:00,9.42839
83,pretrain,2023-11-05 11:00:00,8.17778
84,pretrain,2023-11-05 12:00:00,7.74593
85,pretrain,2023-11-05 13:00:00,2.99127
86,pretrain,2023-11-05 14:00:00,2.45632
87,pretrain,2023-11-05 15:00:00,30.0
88,pretrain,2023-11-05 16:00:00,112.35
89,pretrain,2023-11-05 17:00:00,112.18
90,pretrain,2023-11-05 18:00:00,104.35
91,pretrain,2023-11-05 19:00:00,120.41
92,pretrain,2023-11-05 20:00:00,117.15
93,pretrain,2023-11-05 21:00:00,117.15
94,pretrain,2023-11-05 22:00:00,117.15
95,pretrain,2023-11-05 23:00:00,111.55
96,pretrain,2023-11-06 00:00:00,81.74
97,pretrain,2023-11-06 01:00:00,45.0
98,pretrain,2023-11-06 02:00:00,30.0
99,pretrain,2023-11-06 03:00:00,31.0
100,pretrain,2023-11-06 04:00:00,45.0
101,pretrain,2023-11-06 05:00:00,70.1
102,pretrain,2023-11-06 06:00:00,122.55
103,pretrain,2023-11-06 07:00:00,130.0
104,pretrain,2023-11-06 08:00:00,139.75
105,pretrain,2023-11-06 09:00:00,119.52
106,pretrain,2023-11-06 10:00:00,90.05
107,pretrain,2023-11-06 11:00:00,70.1
108,pretrain,2023-11-06 12:00:00,58.05296
109,pretrain,2023-11-06 13:00:00,66.98418
110,pretrain,2023-11-06 14:00:00,111.86
