error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,1,105.71458333333334,12.461424804560762,4446.1488,2187.8730193590814,177.24,0.0,4368.9088,2198.470296250682,100.0,10.597276891600876,0.0,4368.9088,0.0,0.0,2198.470296250682,0.0,0.12708806991577148,0.030940532684326172,0.5,0.0,4446.1488,2187.8730193590814,48.0,5.08669290796842,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,2,107.2975,13.202076304506049,4028.617040000001,2187.8730193590814,188.64600000000002,0.0,3939.971040000001,2198.470296250682,100.0,10.597276891600876,0.0,3939.971040000001,0.0,0.0,2198.470296250682,0.0,0.14665937423706055,0.03705120086669922,0.5,0.0,8474.76584,4375.746038718163,96.0,10.17338581593684,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,3,94.00600875000002,21.950640093234814,4019.392750000001,2187.8730193590814,170.94443,0.0,3948.448320000001,2198.470296250682,100.0,10.597276891600876,0.0,3948.448320000001,0.0,0.0,2198.470296250682,0.0,0.18734478950500488,0.0461888313293457,0.5,0.0,12494.158590000001,6563.619058077244,144.0,15.26007872390526,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,4,91.17174250000001,23.70879803805018,4433.844000000001,2187.8730193590814,171.7768,0.0,4362.067200000001,2198.470296250682,100.0,10.597276891600876,0.0,4362.067200000001,0.0,0.0,2198.470296250682,0.0,0.16450095176696777,0.03399968147277832,0.5,0.0,16928.002590000004,8751.492077436325,192.0,20.34677163187368,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,5,104.05439041666666,14.491650374708156,4443.486089999999,2187.8730193590814,171.67329,0.0,4371.8128,2198.470296250682,100.0,10.597276891600876,0.0,4371.8128,0.0,0.0,2198.470296250682,0.0,0.1390979290008545,0.03105449676513672,0.5,0.0,21371.488680000002,10939.365096795407,240.0,25.4334645398421,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,6,100.73541666666667,7.889122775044272,4409.7699999999995,2187.8730193590814,155.13,0.0,4354.639999999999,2198.470296250682,100.0,10.597276891600876,0.0,4354.639999999999,0.0,0.0,2198.470296250682,0.0,0.17041230201721191,0.03209519386291504,0.5,0.0,25781.258680000003,13127.238116154489,288.0,30.52015744781052,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,7,97.11214083333334,8.31807857097114,4406.599200000001,2187.8730193590814,145.356,0.0,4361.243200000001,2198.470296250682,100.0,10.597276891600876,0.0,4361.243200000001,0.0,0.0,2198.470296250682,0.0,0.12733173370361328,0.039015769958496094,0.5,0.0,30187.857880000003,15315.11113551357,336.0,35.60685035577894,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,8,108.11229208333333,13.901934222454734,4452.51689,2187.8730193590814,181.90569,0.0,4370.6112,2198.470296250682,100.0,10.597276891600876,0.0,4370.6112,0.0,0.0,2198.470296250682,0.0,0.1528475284576416,0.03459525108337402,0.5,0.0,34640.37477,17502.98415487265,384.0,40.69354326374736,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,9,108.68318208333335,16.557528236516507,4035.5701400000007,2187.8730193590814,194.55077999999997,0.0,3941.019360000001,2198.470296250682,100.0,10.597276891600876,0.0,3941.019360000001,0.0,0.0,2198.470296250682,0.0,0.15336203575134277,0.03450632095336914,0.5,0.0,38675.944910000006,19690.857174231733,432.0,45.78023617171578,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,10,113.25864083333333,15.951957108119185,4060.9426024000004,2187.8730193590814,213.0184424,0.0,3947.9241600000005,2198.470296250682,100.0,10.597276891600876,0.0,3947.9241600000005,0.0,0.0,2198.470296250682,0.0,0.14806437492370605,0.05205273628234863,0.5,0.0,42736.887512400004,21878.730193590814,480.0,50.8669290796842,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,11,108.33565958333332,16.663365649252977,4447.879360000002,2187.8730193590814,180.66016000000002,0.0,4367.219200000001,2198.470296250682,100.0,10.597276891600876,0.0,4367.219200000001,0.0,0.0,2198.470296250682,0.0,0.148148775100708,0.03382253646850586,0.5,0.0,47184.7668724,24066.603212949896,528.0,55.95362198765262,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,12,110.11114750000002,14.408679097124717,4436.198399999999,2187.8730193590814,167.4,0.0,4368.7984,2198.470296250682,100.0,10.597276891600876,0.0,4368.7984,0.0,0.0,2198.470296250682,0.0,0.15580177307128906,0.05355095863342285,0.5,0.0,51620.965272400004,26254.476232308978,576.0,61.04031489562104,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,13,99.79093958333334,13.860342139068777,4425.259220000001,2187.8730193590814,173.02562,0.0,4352.2336000000005,2198.470296250682,100.0,10.597276891600876,0.0,4352.2336000000005,0.0,0.0,2198.470296250682,0.0,0.15564751625061035,0.03335690498352051,0.5,0.0,56046.224492400004,28442.34925166806,624.0,66.12700780358946,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,14,104.18708333333332,6.448551826551618,4414.8464,2187.8730193590814,156.56,0.0,4358.2864,2198.470296250682,100.0,10.597276891600876,0.0,4358.2864,0.0,0.0,2198.470296250682,0.0,0.15603017807006836,0.029089927673339844,0.5,0.0,60461.07089240001,30630.22227102714,672.0,71.21370071155789,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,15,100.95566458333333,12.115852419302083,4434.9210972,2187.8730193590814,164.3098972,0.0,4370.6112,2198.470296250682,100.0,10.597276891600876,0.0,4370.6112,0.0,0.0,2198.470296250682,0.0,0.15200424194335938,0.017100811004638672,0.5,0.0,64895.99198960001,32818.09529038622,720.0,76.30039361952632,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,16,107.47231166666667,17.02281620403399,4031.664880000001,2187.8730193590814,191.20999999999998,0.0,3940.454880000001,2198.470296250682,100.0,10.597276891600876,0.0,3940.454880000001,0.0,0.0,2198.470296250682,0.0,0.11889910697937012,0.025760889053344727,0.5,0.0,68927.6568696,35005.9683097453,768.0,81.38708652749474,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,17,101.77643083333334,13.283522342561891,4028.616,2187.8730193590814,180.208,0.0,3948.4080000000004,2198.470296250682,100.0,10.597276891600876,0.0,3948.4080000000004,0.0,0.0,2198.470296250682,0.0,0.15043997764587402,0.03223252296447754,0.5,0.0,72956.2728696,37193.84132910438,816.0,86.47377943546317,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,18,97.41155083333335,14.041449104580492,4418.501150000001,2187.8730193590814,163.59555,0.0,4354.905600000001,2198.470296250682,100.0,10.597276891600876,0.0,4354.905600000001,0.0,0.0,2198.470296250682,0.0,0.15015220642089844,0.03099799156188965,0.5,0.0,77374.7740196,39381.714348463465,864.0,91.5604723434316,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,19,92.58519125,14.541936471399799,4426.804,2187.8730193590814,157.8136,0.0,4368.9904,2198.470296250682,100.0,10.597276891600876,0.0,4368.9904,0.0,0.0,2198.470296250682,0.0,0.23688387870788574,0.025995731353759766,0.5,0.0,81801.5780196,41569.58736782255,912.0,96.64716525140003,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,20,89.57000000000001,9.888589805090172,4402.4428,2187.8730193590814,150.67,0.0,4351.7728,2198.470296250682,100.0,10.597276891600876,0.0,4351.7728,0.0,0.0,2198.470296250682,0.0,0.16601014137268066,0.02511763572692871,0.5,0.0,86204.0208196,43757.46038718163,960.0,101.73385815936845,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,21,83.36606083333334,15.087496468335383,4398.312906000001,2187.8730193590814,135.783306,0.0,4362.529600000001,2198.470296250682,100.0,10.597276891600876,0.0,4362.529600000001,0.0,0.0,2198.470296250682,0.0,0.1722090244293213,0.02504134178161621,0.5,0.0,90602.33372560001,45945.33340654071,1008.0,106.82055106733688,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,22,102.11625791666665,15.445194644752238,4464.1509164,2187.8730193590814,195.24211640000001,0.0,4368.9088,2198.470296250682,100.0,10.597276891600876,0.0,4368.9088,0.0,0.0,2198.470296250682,0.0,0.12576079368591309,0.029154062271118164,0.5,0.0,95066.48464200001,48133.20642589979,1056.0,111.9072439753053,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,23,90.41481291666666,14.205883436923676,3991.656362000001,2187.8730193590814,150.637002,0.0,3941.019360000001,2198.470296250682,100.0,10.597276891600876,0.0,3941.019360000001,0.0,0.0,2198.470296250682,0.0,0.14263701438903809,0.039968252182006836,0.5,0.0,99058.141004,50321.079445258874,1104.0,116.99393688327373,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,24,96.37801583333334,19.154696613540136,4021.6529600000013,2187.8730193590814,175.9752,0.0,3945.677760000001,2198.470296250682,100.0,10.597276891600876,0.0,3945.677760000001,0.0,0.0,2198.470296250682,0.0,0.140730619430542,0.029102325439453125,0.5,0.0,103079.79396400001,52508.952464617956,1152.0,122.08062979124216,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,25,94.80562000000002,17.624900064950012,4448.572800000001,2187.8730193590814,183.0112,0.0,4365.561600000001,2198.470296250682,100.0,10.597276891600876,0.0,4365.561600000001,0.0,0.0,2198.470296250682,0.0,0.16907477378845215,0.03844165802001953,0.5,0.0,107528.366764,54696.82548397704,1200.0,127.16732269921059,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,26,101.60408125000002,14.569721876166772,4463.4724,2187.8730193590814,189.074,0.0,4374.3984,2198.470296250682,100.0,10.597276891600876,0.0,4374.3984,0.0,0.0,2198.470296250682,0.0,0.13209271430969238,0.01999640464782715,0.5,0.0,111991.839164,56884.69850333612,1248.0,132.254015607179,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,27,92.05375,11.469870971557034,4403.2668,2187.8730193590814,152.0316,0.0,4351.2352,2198.470296250682,100.0,10.597276891600876,0.0,4351.2352,0.0,0.0,2198.470296250682,0.0,0.13628721237182617,0.02651667594909668,0.5,0.0,116395.105964,59072.5715226952,1296.0,137.34070851514744,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,28,76.64094708333334,16.073931723738408,4404.3390444,2187.8730193590814,144.2670444,0.0,4360.072,2198.470296250682,100.0,10.597276891600876,0.0,4360.072,0.0,0.0,2198.470296250682,0.0,0.15773248672485352,0.03271818161010742,0.5,0.0,120799.4450084,61260.44454205428,1344.0,142.42740142311587,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,29,95.13346666666666,17.46505460820446,4452.2944,2187.8730193590814,183.3856,0.0,4368.9088,2198.470296250682,100.0,10.597276891600876,0.0,4368.9088,0.0,0.0,2198.470296250682,0.0,0.1455225944519043,0.036000728607177734,0.5,0.0,125251.7394084,63448.317561413365,1392.0,147.5140943310843,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,30,98.93764291666666,14.497257198094255,4021.5110400000012,2187.8730193590814,181.54000000000002,0.0,3939.971040000001,2198.470296250682,100.0,10.597276891600876,0.0,3939.971040000001,0.0,0.0,2198.470296250682,0.0,0.20518183708190918,0.041114091873168945,0.5,0.0,129273.2504484,65636.19058077244,1440.0,152.60078723905272,0.0,5.08669290796842,5.08669290796842
