Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,103.10397604580768,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,103.24060247621829,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,99.96341020195071,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,82.21600718410494,0.0,0.1,-0.0,162.7768,2.0,0.575,-171.32,-8.543199999999985
4,2024-01-01,85.0,83.46326166803115,2.0,0.575,-170.0,-7.223199999999991,1.3684210526315792,0.9,-116.31578947368423,-124.85898947368422
5,2024-01-01,85.53,87.34784042816612,1.3684210526315792,0.9,-117.04105263157896,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
6,2024-01-01,95.07,95.3489086133957,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
7,2024-01-01,104.07,108.00818058896412,-2.0,0.37368421052631584,208.14,83.87574736842103,0.0,0.9,-0.0,-124.85898947368422
8,2024-01-01,106.95,114.81359102748993,-1.0400000000000003,0.1,111.22800000000004,195.10374736842107,0.0,0.9,-0.0,-124.85898947368422
9,2024-01-01,107.08,96.9113376598293,2.0,0.575,-214.16,-19.05625263157893,0.0,0.9,-0.0,-124.85898947368422
10,2024-01-01,104.0,101.42773473933991,0.0,0.575,-0.0,-19.05625263157893,0.0,0.9,-0.0,-124.85898947368422
11,2024-01-01,98.13,93.65584215788842,1.3684210526315792,0.9,-134.28315789473686,-153.3394105263158,0.0,0.9,-0.0,-124.85898947368422
12,2024-01-01,101.55,103.60285122695011,-2.0,0.37368421052631584,203.1,49.760589473684206,0.0,0.9,-0.0,-124.85898947368422
13,2024-01-01,98.16,99.32883282159106,0.21606648199446615,0.42500000000000154,-21.209085872576797,28.55150360110741,0.0,0.9,-0.0,-124.85898947368422
14,2024-01-01,98.17,93.7405804267411,1.9999999999999938,0.9,-196.3399999999994,-167.788496398892,0.0,0.9,-0.0,-124.85898947368422
15,2024-01-01,105.54,96.152780068659,0.0,0.9,-0.0,-167.788496398892,0.0,0.9,-0.0,-124.85898947368422
16,2024-01-01,110.0,104.14256735644123,0.0,0.9,-0.0,-167.788496398892,0.0,0.9,-0.0,-124.85898947368422
17,2024-01-01,120.04,111.24048658934268,0.0,0.9,-0.0,-167.788496398892,0.0,0.9,-0.0,-124.85898947368422
18,2024-01-01,131.5,132.58727832674552,-2.0,0.37368421052631584,263.0,95.211503601108,-1.6,0.4789473684210526,210.4,85.54101052631579
19,2024-01-01,132.0,130.50235755331477,-1.0400000000000003,0.1,137.28000000000003,232.49150360110804,-1.4399999999999997,0.10000000000000003,190.07999999999996,275.62101052631573
20,2024-01-01,127.75,119.2562594418503,0.0,0.1,-0.0,232.49150360110804,0.0,0.10000000000000003,-0.0,275.62101052631573
21,2024-01-01,113.48,110.49263548291292,0.0,0.1,-0.0,232.49150360110804,0.0,0.10000000000000003,-0.0,275.62101052631573
22,2024-01-01,109.18,112.90336508707131,0.0,0.1,-0.0,232.49150360110804,0.0,0.10000000000000003,-0.0,275.62101052631573
23,2024-01-01,107.2,118.46247753378026,0.0,0.1,-0.0,232.49150360110804,0.0,0.10000000000000003,-0.0,275.62101052631573
24,2024-01-02,105.49,112.40108740952769,0.0,0.1,-0.0,232.49150360110804,0.0,0.10000000000000003,-0.0,275.62101052631573
25,2024-01-02,90.09,91.5301019772696,0.0,0.1,-0.0,232.49150360110804,2.0,0.575,-180.18,95.44101052631572
26,2024-01-02,84.27,80.90165295100697,2.0,0.575,-168.54,63.951503601108044,1.3684210526315792,0.9,-115.31684210526318,-19.875831578947455
27,2024-01-02,84.27,79.02398485639023,1.3684210526315792,0.9,-115.31684210526318,-51.36533850415513,0.0,0.9,-0.0,-19.875831578947455
28,2024-01-02,84.27,82.05580640376252,0.0,0.9,-0.0,-51.36533850415513,0.0,0.9,-0.0,-19.875831578947455
29,2024-01-02,100.0,107.15901795519468,0.0,0.9,-0.0,-51.36533850415513,0.0,0.9,-0.0,-19.875831578947455
30,2024-01-02,108.28,112.19696254968812,0.0,0.9,-0.0,-51.36533850415513,0.0,0.9,-0.0,-19.875831578947455
31,2024-01-02,113.85,116.11204172579963,0.0,0.9,-0.0,-51.36533850415513,0.0,0.9,-0.0,-19.875831578947455
32,2024-01-02,126.9,122.45802164495394,-1.200010918055733,0.5842076531432281,152.28138550127252,100.91604699711739,-1.6,0.4789473684210526,203.04000000000002,183.16416842105258
33,2024-01-02,119.5,105.48562180447986,0.0,0.5842076531432281,-0.0,100.91604699711739,-1.4399999999999997,0.10000000000000003,172.07999999999996,355.24416842105256
34,2024-01-02,110.6,109.83197376972622,1.3296519867653556,0.9,-147.05950973624832,-46.143462739130925,0.0,0.10000000000000003,-0.0,355.24416842105256
35,2024-01-02,108.28,102.98152675754267,0.0,0.9,-0.0,-46.143462739130925,0.0,0.10000000000000003,-0.0,355.24416842105256
36,2024-01-02,105.88,104.53685123094684,-1.8999999999370116,0.4000000000165759,201.1719999933308,155.02853725419988,2.0,0.575,-211.76,143.48416842105257
37,2024-01-02,100.15,100.44711844233017,2.0,0.8750000000165759,-200.3,-45.271462745800136,1.3684210526315792,0.9,-137.04736842105265,6.43679999999992
38,2024-01-02,108.28,111.45221508735642,0.10526315782494389,0.9,-11.397894729284925,-56.669357475085064,0.0,0.9,-0.0,6.43679999999992
39,2024-01-02,110.0,120.71061775694969,0.0,0.9,-0.0,-56.669357475085064,0.0,0.9,-0.0,6.43679999999992
40,2024-01-02,112.8,107.27698760760295,0.0,0.9,-0.0,-56.669357475085064,0.0,0.9,-0.0,6.43679999999992
41,2024-01-02,129.99,127.55696401705514,0.0,0.9,-0.0,-56.669357475085064,-1.6,0.4789473684210526,207.98400000000004,214.42079999999996
42,2024-01-02,130.0,132.76304247738722,-2.0,0.37368421052631584,260.0,203.33064252491494,-1.4399999999999997,0.10000000000000003,187.19999999999996,401.6207999999999
43,2024-01-02,124.29,113.31517065766002,-1.0400000000000003,0.1,129.26160000000004,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
44,2024-01-02,111.26,109.42073603313807,0.0,0.1,-0.0,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
45,2024-01-02,108.28,109.37801119079847,0.0,0.1,-0.0,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
46,2024-01-02,106.0,100.16317838500716,0.0,0.1,-0.0,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
47,2024-01-02,92.41,96.36000117697712,0.0,0.1,-0.0,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
48,2024-01-03,82.5,86.36782179761155,0.0,0.1,-0.0,332.592242524915,0.0,0.10000000000000003,-0.0,401.6207999999999
49,2024-01-03,70.1,74.455570294133,0.0,0.1,-0.0,332.592242524915,2.0,0.575,-140.2,261.42079999999993
50,2024-01-03,50.21346,52.181147564745906,1.3684210533152013,0.4250000001623603,-68.71315582380072,263.87908670111426,1.3684210526315792,0.9,-68.71315578947369,192.70764421052624
51,2024-01-03,40.0,38.09967805800922,1.999999999316378,0.9,-79.99999997265512,183.87908672845913,0.0,0.9,-0.0,192.70764421052624
52,2024-01-03,50.0,49.438242625009025,0.0,0.9,-0.0,183.87908672845913,0.0,0.9,-0.0,192.70764421052624
53,2024-01-03,75.0,76.07877606991612,0.0,0.9,-0.0,183.87908672845913,0.0,0.9,-0.0,192.70764421052624
54,2024-01-03,95.46,101.79033999748114,0.0,0.9,-0.0,183.87908672845913,0.0,0.9,-0.0,192.70764421052624
55,2024-01-03,108.28,112.5675574530422,0.0,0.9,-0.0,183.87908672845913,0.0,0.9,-0.0,192.70764421052624
56,2024-01-03,114.99561,119.74011816778885,-2.0,0.37368421052631584,229.99122,413.8703067284591,-1.6,0.4789473684210526,183.992976,376.70062021052627
57,2024-01-03,113.34489,98.32408999290992,0.9529086404341026,0.6000000126294152,-108.00732503005293,305.8629816984062,-1.4399999999999997,0.10000000000000003,163.21664159999997,539.9172618105263
58,2024-01-03,107.85233,105.25218768594905,0.0,0.6000000126294152,-0.0,305.8629816984062,0.0,0.10000000000000003,-0.0,539.9172618105263
59,2024-01-03,105.0,101.61506584947296,-1.9000000479917776,0.1,199.50000503913665,505.3629867375429,0.0,0.10000000000000003,-0.0,539.9172618105263
60,2024-01-03,92.04644,90.88895924311328,1.3684210551774978,0.4250000006046557,-125.95828655013224,379.40470018741064,2.0,0.575,-184.09288,355.82438181052623
61,2024-01-03,91.59366,86.4921603507224,1.9999999974540814,0.9,-183.18731976681,196.21738042060065,1.3684210526315792,0.9,-125.33869263157897,230.48568917894727
62,2024-01-03,97.50897,99.4213307164362,0.0,0.9,-0.0,196.21738042060065,0.0,0.9,-0.0,230.48568917894727
63,2024-01-03,106.02775,109.00118093746617,0.0,0.9,-0.0,196.21738042060065,0.0,0.9,-0.0,230.48568917894727
64,2024-01-03,109.7411,111.17692756401398,0.0,0.9,-0.0,196.21738042060065,0.0,0.9,-0.0,230.48568917894727
65,2024-01-03,115.81,125.25262540900279,-2.0,0.37368421052631584,231.62,427.83738042060065,-1.6,0.4789473684210526,185.29600000000002,415.7816891789473
66,2024-01-03,115.81,112.54178911635984,0.95290858579575,0.5999999996528065,-110.35634332100581,317.48103709959486,-1.4399999999999997,0.10000000000000003,166.76639999999998,582.5480891789473
67,2024-01-03,115.81,111.20693400231768,-1.8999999986806646,0.1,220.03899984720778,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
68,2024-01-03,109.0,111.91390513668468,0.0,0.1,-0.0,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
69,2024-01-03,106.0,112.65429257510964,0.0,0.1,-0.0,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
70,2024-01-03,101.46,107.74353461368324,0.0,0.1,-0.0,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
71,2024-01-03,82.59,83.5790381389242,0.0,0.1,-0.0,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
72,2024-01-04,74.19,64.48769788219866,0.0,0.1,-0.0,537.5200369468026,0.0,0.10000000000000003,-0.0,582.5480891789473
73,2024-01-04,65.0,59.83391154815771,0.0,0.1,-0.0,537.5200369468026,2.0,0.575,-130.0,452.5480891789473
74,2024-01-04,40.0,38.96376449894618,2.0,0.575,-80.0,457.52003694680263,1.3684210526315792,0.9,-54.736842105263165,397.8112470736841
75,2024-01-04,35.19694,37.43548541694868,1.3684210526315792,0.9,-48.16423368421053,409.3558032625921,0.0,0.9,-0.0,397.8112470736841
76,2024-01-04,49.39,45.88976825669403,0.0,0.9,-0.0,409.3558032625921,0.0,0.9,-0.0,397.8112470736841
77,2024-01-04,70.1,68.98696412105633,0.0,0.9,-0.0,409.3558032625921,0.0,0.9,-0.0,397.8112470736841
78,2024-01-04,97.61,100.20390381728977,0.0,0.9,-0.0,409.3558032625921,0.0,0.9,-0.0,397.8112470736841
79,2024-01-04,106.51,113.65844853513217,-2.0,0.37368421052631584,213.02,622.3758032625921,0.0,0.9,-0.0,397.8112470736841
80,2024-01-04,109.49416,106.29439071725385,0.0,0.37368421052631584,-0.0,622.3758032625921,-1.6,0.4789473684210526,175.190656,573.0019030736842
81,2024-01-04,107.23976,111.52562134247732,-1.0400000000000003,0.1,111.52935040000003,733.905153662592,-1.4399999999999997,0.10000000000000003,154.42525439999997,727.4271574736841
82,2024-01-04,94.35704,89.17320340146864,0.0,0.1,-0.0,733.905153662592,0.0,0.10000000000000003,-0.0,727.4271574736841
83,2024-01-04,87.10039,83.07859469830561,2.0,0.575,-174.20078,559.704373662592,0.0,0.10000000000000003,-0.0,727.4271574736841
84,2024-01-04,83.81886,80.44744823347735,1.3684210526315792,0.9,-114.69949263157898,445.00488103101304,2.0,0.575,-167.63772,559.7894374736841
85,2024-01-04,85.96413,77.77883890767303,0.0,0.9,-0.0,445.00488103101304,1.3684210526315792,0.9,-117.63512526315792,442.15431221052614
86,2024-01-04,92.11054,90.86513534696836,0.0,0.9,-0.0,445.00488103101304,0.0,0.9,-0.0,442.15431221052614
87,2024-01-04,103.34,100.77711155991827,0.0,0.9,-0.0,445.00488103101304,0.0,0.9,-0.0,442.15431221052614
88,2024-01-04,110.02,98.47848036614398,0.0,0.9,-0.0,445.00488103101304,0.0,0.9,-0.0,442.15431221052614
89,2024-01-04,116.87,127.3035486988926,-2.0,0.37368421052631584,233.74,678.744881031013,0.0,0.9,-0.0,442.15431221052614
