Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,118.15244644996994,0.0,0.5,-0.0,0.0,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,100.57310649280012,-1.52,0.1,158.08,158.08,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,108.25024643033542,0.0,0.1,-0.0,158.08,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,86.55091836580002,0.0,0.1,-0.0,158.08,1.8000000000000003,0.5275000000000001,-154.18800000000002,8.588799999999992
4,2024-01-01,85.0,90.63941507632664,2.0,0.575,-170.0,-11.919999999999987,1.5684210526315787,0.9,-133.3157894736842,-124.7269894736842
5,2024-01-01,85.53,89.33505180649496,1.3684210526315792,0.9,-117.04105263157896,-128.96105263157895,0.0,0.9,-0.0,-124.7269894736842
6,2024-01-01,95.07,108.76048285449359,0.0,0.9,-0.0,-128.96105263157895,0.0,0.9,-0.0,-124.7269894736842
7,2024-01-01,104.07,102.60780680261591,0.0,0.9,-0.0,-128.96105263157895,0.0,0.9,-0.0,-124.7269894736842
8,2024-01-01,106.95,116.21143939061386,-2.0,0.37368421052631584,213.9,84.93894736842105,-2.0,0.37368421052631584,213.9,89.1730105263158
9,2024-01-01,107.08,104.68787192031448,0.1809711909997058,0.41666486838874595,-19.378395132248496,65.56055223617255,-1.0400000000000003,0.1,111.36320000000002,200.5362105263158
10,2024-01-01,104.0,102.0341021059633,-1.2033264998772346,0.1,125.1459559872324,190.70650822340497,0.0,0.1,-0.0,200.5362105263158
11,2024-01-01,98.13,98.95381605000206,0.0,0.1,-0.0,190.70650822340497,0.0,0.1,-0.0,200.5362105263158
12,2024-01-01,101.55,92.17386177768614,0.0,0.1,-0.0,190.70650822340497,0.0,0.1,-0.0,200.5362105263158
13,2024-01-01,98.16,84.59470195694928,2.0,0.575,-196.32,-5.613491776595026,1.8000000000000003,0.5275000000000001,-176.68800000000002,23.848210526315796
14,2024-01-01,98.17,107.28501926096519,1.3684210526315792,0.9,-134.33789473684214,-139.95138651343717,1.5684210526315787,0.9,-153.97189473684207,-130.12368421052628
15,2024-01-01,105.54,98.21825710016475,0.0,0.9,-0.0,-139.95138651343717,0.0,0.9,-0.0,-130.12368421052628
16,2024-01-01,110.0,115.27849463375125,0.0,0.9,-0.0,-139.95138651343717,0.0,0.9,-0.0,-130.12368421052628
17,2024-01-01,120.04,125.0475308577797,0.0,0.9,-0.0,-139.95138651343717,0.0,0.9,-0.0,-130.12368421052628
18,2024-01-01,131.5,139.11553134845238,-1.2000004680827168,0.5842104031361272,157.80006155287725,17.84867503944008,-2.0,0.37368421052631584,263.0,132.87631578947372
19,2024-01-01,132.0,133.0959575122557,-1.8399995319172833,0.1,242.8799382130814,260.7286132525215,-1.0400000000000003,0.1,137.28000000000003,270.15631578947375
20,2024-01-01,127.75,128.06002515131573,0.0,0.1,-0.0,260.7286132525215,0.0,0.1,-0.0,270.15631578947375
21,2024-01-01,113.48,122.96105536933376,0.0,0.1,-0.0,260.7286132525215,0.0,0.1,-0.0,270.15631578947375
22,2024-01-01,109.18,111.29487760568584,0.0,0.1,-0.0,260.7286132525215,0.0,0.1,-0.0,270.15631578947375
23,2024-01-01,107.2,107.39594165521093,2.0,0.575,-214.4,46.32861325252148,0.0,0.1,-0.0,270.15631578947375
24,2024-01-02,105.49,115.19634613800594,-1.805,0.1,190.40945,236.73806325252147,0.0,0.1,-0.0,270.15631578947375
25,2024-01-02,90.09,100.24431074456875,0.0,0.1,-0.0,236.73806325252147,1.8000000000000003,0.5275000000000001,-162.16200000000003,107.99431578947372
26,2024-01-02,84.27,86.48211893819652,1.4040639792277936,0.433465195066601,-118.32047152952616,118.41759172299531,1.5684210526315787,0.9,-132.17084210526312,-24.176526315789403
27,2024-01-02,84.27,72.78079305468722,1.9643570734037856,0.9,-165.536370575737,-47.1187788527417,0.0,0.9,-0.0,-24.176526315789403
28,2024-01-02,84.27,94.67181287664638,0.0,0.9,-0.0,-47.1187788527417,0.0,0.9,-0.0,-24.176526315789403
29,2024-01-02,100.0,109.63271851594003,0.0,0.9,-0.0,-47.1187788527417,0.0,0.9,-0.0,-24.176526315789403
30,2024-01-02,108.28,110.45901452651712,0.0,0.9,-0.0,-47.1187788527417,0.0,0.9,-0.0,-24.176526315789403
31,2024-01-02,113.85,116.6446600221797,0.0,0.9,-0.0,-47.1187788527417,0.0,0.9,-0.0,-24.176526315789403
32,2024-01-02,126.9,111.998358865657,0.0,0.9,-0.0,-47.1187788527417,-2.0,0.37368421052631584,253.8,229.6234736842106
33,2024-01-02,119.5,101.71199292612033,0.0,0.9,-0.0,-47.1187788527417,-1.0400000000000003,0.1,124.28000000000003,353.90347368421067
34,2024-01-02,110.6,108.90345186798852,0.0,0.9,-0.0,-47.1187788527417,0.0,0.1,-0.0,353.90347368421067
35,2024-01-02,108.28,108.35007419474843,0.0,0.9,-0.0,-47.1187788527417,0.0,0.1,-0.0,353.90347368421067
36,2024-01-02,105.88,90.3514181796285,0.0,0.9,-0.0,-47.1187788527417,0.0,0.1,-0.0,353.90347368421067
37,2024-01-02,100.15,114.27670939678487,-1.9000000086520705,0.3999999977231393,190.28500086650487,143.16622201376316,0.0,0.1,-0.0,353.90347368421067
38,2024-01-02,108.28,121.59198848350853,-1.1399999913479295,0.1,123.43919906315381,266.60542107691697,0.0,0.1,-0.0,353.90347368421067
39,2024-01-02,110.0,94.47657100857407,0.0,0.1,-0.0,266.60542107691697,1.8000000000000003,0.5275000000000001,-198.00000000000003,155.90347368421064
